Record;Type;Sample Name;Measurement Date and Time;T;Z-Ave;PdI;Pk 1 Mean Int;Pk 2 Mean Int;Pk 3 Mean Int;Pk 1 Area Int;Pk 2 Area Int;Pk 3 Area Int;Aggregation Index;Scattering Angle;C(SR3), g/L;C(DNA), g/L;c(HA), g/L
8;Size;0.25DNACHIT 1;11. huhtikuuta 2024 12:53:16;25;83,82;0,219;101,8;3121;0;96,9;3,1;0;;173;0,0183;0,122;0
9;Size;0.25DNACHIT 2;11. huhtikuuta 2024 12:55:49;25;84,61;0,199;104,2;0;0;100;0;0;;173;0,0183;0,122;0
10;Size;0.25DNACHIT 3;11. huhtikuuta 2024 12:58:22;25;85,4;0,21;100,5;5169;0;99;1;0;;173;0,0183;0,122;0
14;Size;0.5DNACHIT 1;11. huhtikuuta 2024 13:28:35;25;93,75;0,148;112,1;0;0;100;0;0;;173;0,0323;0,108;0
15;Size;0.5DNACHIT 2;11. huhtikuuta 2024 13:30:37;25;92,29;0,141;107,5;0;0;100;0;0;;173;0,0323;0,108;0
16;Size;0.5DNACHIT 3;11. huhtikuuta 2024 13:32:40;25;93,23;0,14;109,3;0;0;100;0;0;;173;0,0323;0,108;0
17;Size;1DNACHIT 1;11. huhtikuuta 2024 13:44:21;25;122,7;0,11;139,8;0;0;100;0;0;;173;0,0525;0,0875;0
18;Size;1DNACHIT 2;11. huhtikuuta 2024 13:46:54;25;120,7;0,102;135,7;0;0;100;0;0;;173;0,0525;0,0875;0
19;Size;1DNACHIT 3;11. huhtikuuta 2024 13:49:27;25;120,6;0,131;137,4;0;0;100;0;0;;173;0,0525;0,0875;0
23;Size;1DNACHIT 1;11. huhtikuuta 2024 14:04:23;25;122;0,099;136,2;0;0;100;0;0;;173;0,0525;0,0875;0
24;Size;1DNACHIT 2;11. huhtikuuta 2024 14:07:07;25;121,7;0,111;134,7;0;0;100;0;0;;173;0,0525;0,0875;0
25;Size;1DNACHIT 3;11. huhtikuuta 2024 14:09:50;25;121,1;0,122;139,1;0;0;100;0;0;;173;0,0525;0,0875;0
29;Size;2DNACHIT 1;11. huhtikuuta 2024 14:28:17;25;244,6;0,13;258,6;0;0;100;0;0;;173;0,0764;0,0636;0
30;Size;2DNACHIT 2;11. huhtikuuta 2024 14:30:40;25;243,3;0,099;268;0;0;100;0;0;;173;0,0764;0,0636;0
31;Size;2DNACHIT 3;11. huhtikuuta 2024 14:33:03;25;247,3;0,094;275,4;0;0;100;0;0;;173;0,0764;0,0636;0
38;Size;4DNACHIT 1;11. huhtikuuta 2024 15:29:24;25;167,5;0,093;186,4;0;0;100;0;0;;173;0,099;0,0412;0
39;Size;4DNACHIT 2;11. huhtikuuta 2024 15:31:47;25;165,2;0,094;184,5;0;0;100;0;0;;173;0,099;0,0412;0
40;Size;4DNACHIT 3;11. huhtikuuta 2024 15:34:10;25;166,3;0,103;185,9;0;0;100;0;0;;173;0,099;0,0412;0
77;Size;0.25HASR3 1;22. huhtikuuta 2024 13:48:29;25,1;237,5;0,371;298,7;0;0;100;0;0;;173;0,044;0;0,0259
78;Size;0.25HASR3 2;22. huhtikuuta 2024 13:50:52;25;226,6;0,365;308,4;45,51;0;93,8;6,2;0;;173;0,044;0;0,0259
79;Size;0.25HASR3 3;22. huhtikuuta 2024 13:53:15;24,9;229,5;0,38;300,5;44,19;5380;95,1;3,8;1,1;;173;0,044;0;0,0259
80;Size;0.5HASR3 1;22. huhtikuuta 2024 13:57:56;25;221,8;0,12;250,9;0;0;100;0;0;;173;0,0322;0;0,0378
81;Size;0.5HASR3 2;22. huhtikuuta 2024 13:59:49;25,1;220,4;0,155;257;0;0;100;0;0;;173;0,0322;0;0,0378
82;Size;0.5HASR3 3;22. huhtikuuta 2024 14:01:41;25;220,9;0,163;261,8;0;0;100;0;0;;173;0,0322;0;0,0378
83;Size;1HASR3 1;22. huhtikuuta 2024 14:08:47;25,1;1731;0,699;562,8;0;0;100;0;0;;173;0,0209;0;0,0491
84;Size;1HASR3 2;22. huhtikuuta 2024 14:10:59;25;2323;1;565,4;0;0;100;0;0;;173;0,0209;0;0,0491
85;Size;1HASR3 3;22. huhtikuuta 2024 14:13:12;24,9;3119;1;682,8;0;0;100;0;0;;173;0,0209;0;0,0491
90;Size;1,5HASR3 1;22. huhtikuuta 2024 14:29:52;25;339;0,605;654,3;4,928;0;86,8;13,2;0;;173;0,0155;0;0,0545
91;Size;1,5HASR3 2;22. huhtikuuta 2024 14:31:44;24,9;815,5;1;733,6;0,6868;2,476;86,1;8,1;5,8;;173;0,0155;0;0,0545
93;Size;1,5HASR3 1;22. huhtikuuta 2024 14:39:24;25,1;771,7;0,258;866,4;0;0;100;0;0;;173;0,0155;0;0,0545
94;Size;1,5HASR3 2;22. huhtikuuta 2024 14:41:57;25,1;908,8;0,135;988,5;0;0;100;0;0;;173;0,0155;0;0,0545
95;Size;1,5HASR3 3;22. huhtikuuta 2024 14:44:30;25,1;1078;0,148;1160;0;0;100;0;0;;173;0,0155;0;0,0545
96;Size;2HASR3 1;22. huhtikuuta 2024 14:53:11;25,1;512,9;0,176;510,8;0;0;100;0;0;;173;0,0123;0;0,0577
97;Size;2HASR3 2;22. huhtikuuta 2024 14:55:34;24,9;508,6;0,044;521,7;0;0;100;0;0;;173;0,0123;0;0,0577
98;Size;2HASR3 3;22. huhtikuuta 2024 14:57:56;25,1;499;0,08;544,7;0;0;100;0;0;;173;0,0123;0;0,0577
99;Size;2,5HASR3 1;22. huhtikuuta 2024 15:03:18;25;258,6;0,002;268,4;0;0;100;0;0;;173;0,0102;0;0,0598
100;Size;2,5HASR3 2;22. huhtikuuta 2024 15:05:20;25;258,9;0,008;272;0;0;100;0;0;;173;0,0102;0;0,0598
101;Size;2,5HASR3 3;22. huhtikuuta 2024 15:07:23;25;251,9;0,076;274,7;0;0;100;0;0;;173;0,0102;0;0,0598
102;Size;3HASR3 1;22. huhtikuuta 2024 15:15:03;25,1;230;0,019;240,8;0;0;100;0;0;;173;0,0087;0;0,0613
103;Size;3HASR3 2;22. huhtikuuta 2024 15:17:36;25,1;232,3;0,049;246,7;0;0;100;0;0;;173;0,0087;0;0,0613
104;Size;3HASR3 3;22. huhtikuuta 2024 15:20:09;25;231,6;0,095;255,3;0;0;100;0;0;;173;0,0087;0;0,0613
105;Size;3,5HASR3 1;22. huhtikuuta 2024 15:26:51;25;224,1;0,061;238,9;0;0;100;0;0;;173;0,00759;0;0,0624
106;Size;3,5HASR3 2;22. huhtikuuta 2024 15:29:04;25,1;227,4;0,016;235,3;0;0;100;0;0;;173;0,00759;0;0,0624
107;Size;3,5HASR3 3;22. huhtikuuta 2024 15:31:16;25,1;221,5;0,042;234,7;0;0;100;0;0;;173;0,00759;0;0,0624
108;Size;4HASR3 1;22. huhtikuuta 2024 15:36:33;25,1;203;0,037;214,3;0;0;100;0;0;;173;0,00673;0;0,0633
109;Size;4HASR3 2;22. huhtikuuta 2024 15:38:36;25;204,3;0,047;217,7;0;0;100;0;0;;173;0,00673;0;0,0633
110;Size;4HASR3 3;22. huhtikuuta 2024 15:40:38;24,9;204,1;0,064;220,1;0;0;100;0;0;;173;0,00673;0;0,0633
141;Size;1DNASR3HA 1;25. huhtikuuta 2024 11:45:12;25,1;218,3;0,125;236,3;0;0;100;0;0;;173;0,1;0,04;0,47
142;Size;1DNASR3HA 2;25. huhtikuuta 2024 11:47:25;24,9;218,4;0,1;242,5;0;0;100;0;0;;173;0,1;0,04;0,47
143;Size;1DNASR3HA 3;25. huhtikuuta 2024 11:49:38;25;220,1;0,088;243,5;0;0;100;0;0;;173;0,1;0,04;0,47
144;Size;2DNASR3HA 1;25. huhtikuuta 2024 11:56:00;25;253,7;0,185;297,5;0;0;100;0;0;;173;0,1;0,04;0,5
145;Size;2DNASR3HA 2;25. huhtikuuta 2024 11:58:23;24,9;255,1;0,187;291;4589;0;97,8;2,2;0;;173;0,1;0,04;0,5
146;Size;2DNASR3HA 3;25. huhtikuuta 2024 12:00:46;25,1;247,5;0,213;262,6;4936;0;96,9;3,1;0;;173;0,1;0,04;0,5
147;Size;3DNASR3HA 1;25. huhtikuuta 2024 12:06:35;25,1;210,2;0,051;224,8;0;0;100;0;0;;173;0,1;0,04;0,59
148;Size;3DNASR3HA 2;25. huhtikuuta 2024 12:08:37;25,1;206;0,041;219,5;0;0;100;0;0;;173;0,1;0,04;0,59
149;Size;3DNASR3HA 3;25. huhtikuuta 2024 12:10:40;25,1;203,7;0,022;213,6;0;0;100;0;0;;173;0,1;0,04;0,59
150;Size;4DNASR3HA 1;25. huhtikuuta 2024 12:17:38;25;230;0,036;243,5;0;0;100;0;0;;173;0,1;0,02;0,47
151;Size;4DNASR3HA 2;25. huhtikuuta 2024 12:19:51;24,9;226,3;0,033;238,6;0;0;100;0;0;;173;0,1;0,02;0,47
152;Size;4DNASR3HA 3;25. huhtikuuta 2024 12:22:03;25,1;229,8;0,009;238,2;0;0;100;0;0;;173;0,1;0,02;0,47
153;Size;5DNASR3HA 1;25. huhtikuuta 2024 12:27:31;25;226,4;0,002;234,8;0;0;100;0;0;;173;0,1;0,02;0,5
154;Size;5DNASR3HA 2;25. huhtikuuta 2024 12:29:44;25;221,2;0,024;232,2;0;0;100;0;0;;173;0,1;0,02;0,5
155;Size;5DNASR3HA 3;25. huhtikuuta 2024 12:31:56;25,1;224,8;0,02;235,9;0;0;100;0;0;;173;0,1;0,02;0,5
156;Size;6DNASR3HA 1;25. huhtikuuta 2024 12:37:48;25,1;219,3;0,024;230,3;0;0;100;0;0;;173;0,1;0,02;0,59
157;Size;6DNASR3HA 2;25. huhtikuuta 2024 12:40:00;24,9;219,9;0,046;233,7;0;0;100;0;0;;173;0,1;0,02;0,59
158;Size;6DNASR3HA 3;25. huhtikuuta 2024 12:42:13;24,9;221;0,075;239,6;0;0;100;0;0;;173;0,1;0,02;0,59
159;Size;7DNASR3HA 1;25. huhtikuuta 2024 12:49:42;25;260,9;0,055;280,5;0;0;100;0;0;;173;0,1;0,01;0,47
160;Size;7DNASR3HA 2;25. huhtikuuta 2024 12:51:44;25;255,9;0,027;270,3;0;0;100;0;0;;173;0,1;0,01;0,47
161;Size;7DNASR3HA 3;25. huhtikuuta 2024 12:53:47;24,9;255,3;0,062;277;0;0;100;0;0;;173;0,1;0,01;0,47
162;Size;8DNASR3HA 1;25. huhtikuuta 2024 12:59:13;24,9;253,2;0,063;270,5;0;0;100;0;0;;173;0,1;0,01;0,5
163;Size;8DNASR3HA 2;25. huhtikuuta 2024 13:01:16;24,9;258,3;0,069;279,3;0;0;100;0;0;;173;0,1;0,01;0,5
164;Size;8DNASR3HA 3;25. huhtikuuta 2024 13:03:18;25;254,4;0,043;271,3;0;0;100;0;0;;173;0,1;0,01;0,5
165;Size;9DNASR3HA 1;25. huhtikuuta 2024 13:09:13;25;236,8;0,022;248,4;0;0;100;0;0;;173;0,1;0,01;0,59
166;Size;9DNASR3HA 2;25. huhtikuuta 2024 13:11:35;25;249,3;0,079;271,2;0;0;100;0;0;;173;0,1;0,01;0,59
167;Size;9DNASR3HA 3;25. huhtikuuta 2024 13:13:58;25,1;248,8;0,132;266,1;0;0;100;0;0;;173;0,1;0,01;0,59
201;Size;1(4/26) 1;29. huhtikuuta 2024 11:32:34;24,9;136,3;0,056;145,7;0;0;100;0;0;;173;0,1;0,067;0,1
