Record;Type;Sample Name;Measurement Date and Time;T, °C;ZP, mV;Mob, µmcm/Vs;Cond, mS/cm
5;Zeta;0.25DNACHIT 1;11. huhtikuuta 2024 12:39:12;25;-20;-0,9939;0,537
6;Zeta;0.25DNACHIT 2;11. huhtikuuta 2024 12:40:59;25;-21,5;-1,065;0,562
7;Zeta;0.25DNACHIT 3;11. huhtikuuta 2024 12:41:47;25;-25,1;-1,248;0,574
11;Zeta;0.5DNACHIT 1;11. huhtikuuta 2024 13:01:48;25;-0,455;-0,03567;0,00228
12;Zeta;0.5DNACHIT 2;11. huhtikuuta 2024 13:09:08;25;-0,474;-0,03716;0,0111
13;Zeta;0.5DNACHIT 3;11. huhtikuuta 2024 13:14:08;25;0,495;0,03877;0,023
20;Zeta;1DNACHIT 1;11. huhtikuuta 2024 13:53:26;25;-15,2;-1,192;0,545
21;Zeta;1DNACHIT 2;11. huhtikuuta 2024 13:54:56;25;-15,6;-1,224;0,561
22;Zeta;1DNACHIT 3;11. huhtikuuta 2024 13:55:35;25;-16,4;-1,289;0,571
26;Zeta;2DNACHIT 1;11. huhtikuuta 2024 14:13:40;25;0,168;0,01318;2,67E-04
27;Zeta;2DNACHIT 2;11. huhtikuuta 2024 14:16:04;25;-0,0163;-0,00128;2,39E-04
28;Zeta;2DNACHIT 3;11. huhtikuuta 2024 14:17:36;25;-0,382;-0,02994;3,11E-04
32;Zeta;2DNACHIT 1;11. huhtikuuta 2024 15:02:53;25;13,5;1,062;0,556
33;Zeta;2DNACHIT 2;11. huhtikuuta 2024 15:04:22;25;13,6;1,064;0,574
34;Zeta;2DNACHIT 3;11. huhtikuuta 2024 15:05:01;25;13,9;1,087;0,586
35;Zeta;4DNACHIT 1;11. huhtikuuta 2024 15:02:53;25;13,5;1,062;0,556
36;Zeta;4DNACHIT 2;11. huhtikuuta 2024 15:04:22;25;13,6;1,064;0,574
37;Zeta;4DNACHIT 3;11. huhtikuuta 2024 15:05:01;25;13,9;1,087;0,586
68;Zeta;HASR0p5 1;18. huhtikuuta 2024 16:42:07;25;-0,734;-0,05753;3,16E-04
69;Zeta;HASR0p5 2;18. huhtikuuta 2024 16:43:41;25;0,626;0,04904;2,31E-04
70;Zeta;HASR0p5 3;18. huhtikuuta 2024 16:44:43;25;-0,643;-0,05039;3,20E-04
71;Zeta;HASR1 1;18. huhtikuuta 2024 16:50:36;25;-18,6;-1,459;0,551
72;Zeta;HASR1 2;18. huhtikuuta 2024 16:51:45;25;-18,8;-1,47;0,571
73;Zeta;HASR1 3;18. huhtikuuta 2024 16:52:24;25;-19,7;-1,546;0,584
74;Zeta;HASR1p5 1;18. huhtikuuta 2024 17:01:14;25;-19,2;-1,508;0,553
75;Zeta;HASR1p5 2;18. huhtikuuta 2024 17:02:23;25;-18,8;-1,475;0,571
76;Zeta;HASR1p5 3;18. huhtikuuta 2024 17:03:02;25;-20;-1,566;0,581
111;Zeta;0,25HASR3 1;22. huhtikuuta 2024 15:45:47;25,1;14,3;1,123;0,57
112;Zeta;0,25HASR3 2;22. huhtikuuta 2024 15:47:17;25;15,4;1,211;0,59
113;Zeta;0,25HASR3 3;22. huhtikuuta 2024 15:47:57;24,9;14,5;1,136;0,604
114;Zeta;0,5HASR3 1;22. huhtikuuta 2024 15:52:27;25,1;7,4;0,58;0,545
115;Zeta;0,5HASR3 2;22. huhtikuuta 2024 15:54:25;25,1;9,32;0,7307;0,579
116;Zeta;0,5HASR3 3;22. huhtikuuta 2024 15:55:11;24,9;9,85;0,772;0,591
117;Zeta;1HASR3 1;22. huhtikuuta 2024 16:01:18;24,9;2,75;0,2158;0,532
118;Zeta;1HASR3 2;22. huhtikuuta 2024 16:02:46;25,1;2,49;0,195;0,549
119;Zeta;1HASR3 3;22. huhtikuuta 2024 16:03:31;25;2,23;0,1748;0,562
120;Zeta;1,5HASR3 1;22. huhtikuuta 2024 16:07:29;24,9;-0,588;-0,04606;2,77E-04
121;Zeta;1,5HASR3 2;22. huhtikuuta 2024 16:09:50;25;1,06;0,08314;3,67E-04
122;Zeta;1,5HASR3 3;22. huhtikuuta 2024 16:11:22;25,1;-0,85;-0,06664;9,21E-04
123;Zeta;2HASR3 1;22. huhtikuuta 2024 16:15:42;25,1;-17,4;-1,368;0,588
124;Zeta;2HASR3 2;22. huhtikuuta 2024 16:17:11;25;-17,5;-1,371;0,611
125;Zeta;2HASR3 3;22. huhtikuuta 2024 16:17:50;24,9;-18,2;-1,423;0,628
126;Zeta;2,5HASR3 1;22. huhtikuuta 2024 16:21:29;25;-18,4;-1,44;0,518
127;Zeta;2,5HASR3 2;22. huhtikuuta 2024 16:22:58;24,9;-18,9;-1,485;0,539
128;Zeta;2,5HASR3 3;22. huhtikuuta 2024 16:23:37;24,9;-19,3;-1,513;0,554
129;Zeta;3HASR3 1;22. huhtikuuta 2024 16:30:34;25;-19,5;-1,527;0,561
130;Zeta;3HASR3 2;22. huhtikuuta 2024 16:32:03;25;-20,9;-1,638;0,582
131;Zeta;3HASR3 3;22. huhtikuuta 2024 16:32:42;25;-20,3;-1,593;0,596
132;Zeta;3,5HASR3 1;22. huhtikuuta 2024 16:36:12;25;-17,8;-1,397;0,527
133;Zeta;3,5HASR3 2;22. huhtikuuta 2024 16:37:40;25;-18,5;-1,452;0,547
134;Zeta;3,5HASR3 3;22. huhtikuuta 2024 16:38:19;25;-19,4;-1,524;0,562
135;Zeta;4HASR3 1;22. huhtikuuta 2024 16:41:42;25;-21,5;-1,686;0,554
