5/28/2024 3:33 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.20667	
//WLCalib: 261S 	0.00000	
//WLCalib: 362S 	-0.20000	
//WLCalib: 484S 	0.08000	
//WLCalib: 529S 	0.39000	
//WLCalib: 823S 	-0.42000	
//QSpecEnd: 
220.0	0.570
220.5	0.551
221.0	0.539
221.5	0.527
222.0	0.510
222.5	0.496
223.0	0.484
223.5	0.469
224.0	0.456
224.5	0.445
225.0	0.434
225.5	0.426
226.0	0.418
226.5	0.412
227.0	0.408
227.5	0.404
228.0	0.400
228.5	0.397
229.0	0.393
229.5	0.391
230.0	0.388
230.5	0.386
231.0	0.385
231.5	0.383
232.0	0.381
232.5	0.379
233.0	0.376
233.5	0.376
234.0	0.374
234.5	0.372
235.0	0.372
235.5	0.372
236.0	0.373
236.5	0.374
237.0	0.375
237.5	0.377
238.0	0.380
238.5	0.385
239.0	0.390
239.5	0.397
240.0	0.401
240.5	0.407
241.0	0.411
241.5	0.414
242.0	0.420
242.5	0.425
243.0	0.430
243.5	0.436
244.0	0.443
244.5	0.450
245.0	0.456
245.5	0.462
246.0	0.467
246.5	0.471
247.0	0.475
247.5	0.479
248.0	0.483
248.5	0.487
249.0	0.491
249.5	0.493
250.0	0.497
250.5	0.501
251.0	0.505
251.5	0.507
252.0	0.510
252.5	0.513
253.0	0.515
253.5	0.517
254.0	0.520
254.5	0.521
255.0	0.523
255.5	0.525
256.0	0.525
256.5	0.527
257.0	0.526
257.5	0.526
258.0	0.524
258.5	0.525
259.0	0.524
259.5	0.523
260.0	0.520
260.5	0.520
261.0	0.518
261.5	0.516
262.0	0.515
262.5	0.514
263.0	0.509
263.5	0.505
264.0	0.501
264.5	0.498
265.0	0.494
265.5	0.490
266.0	0.484
266.5	0.479
267.0	0.474
267.5	0.469
268.0	0.462
268.5	0.454
269.0	0.446
269.5	0.440
270.0	0.434
270.5	0.429
271.0	0.422
271.5	0.417
272.0	0.411
272.5	0.404
273.0	0.398
273.5	0.392
274.0	0.387
274.5	0.380
275.0	0.374
275.5	0.367
276.0	0.363
276.5	0.355
277.0	0.349
277.5	0.342
278.0	0.334
278.5	0.327
279.0	0.319
279.5	0.312
280.0	0.304
280.5	0.297
281.0	0.289
281.5	0.280
282.0	0.272
282.5	0.264
283.0	0.254
283.5	0.245
284.0	0.238
284.5	0.230
285.0	0.222
285.5	0.215
286.0	0.208
286.5	0.200
287.0	0.191
287.5	0.183
288.0	0.172
288.5	0.164
289.0	0.156
289.5	0.149
290.0	0.142
290.5	0.135
291.0	0.127
291.5	0.118
292.0	0.110
292.5	0.104
293.0	0.097
293.5	0.091
294.0	0.086
294.5	0.080
295.0	0.075
295.5	0.071
296.0	0.068
296.5	0.066
297.0	0.063
297.5	0.061
298.0	0.058
298.5	0.055
299.0	0.054
299.5	0.052
300.0	0.049
300.5	0.048
301.0	0.045
301.5	0.043
302.0	0.041
302.5	0.041
303.0	0.039
303.5	0.038
304.0	0.036
304.5	0.034
305.0	0.031
305.5	0.029
306.0	0.029
306.5	0.028
307.0	0.026
307.5	0.026
308.0	0.026
308.5	0.025
309.0	0.023
309.5	0.024
310.0	0.023
310.5	0.023
311.0	0.022
311.5	0.021
312.0	0.022
312.5	0.022
313.0	0.023
313.5	0.022
314.0	0.021
314.5	0.021
315.0	0.020
315.5	0.019
316.0	0.019
316.5	0.019
317.0	0.018
317.5	0.017
318.0	0.016
318.5	0.013
319.0	0.013
319.5	0.012
320.0	0.011
320.5	0.010
321.0	0.008
321.5	0.009
322.0	0.009
322.5	0.009
323.0	0.009
323.5	0.008
324.0	0.006
324.5	0.007
325.0	0.006
325.5	0.006
326.0	0.008
326.5	0.007
327.0	0.006
327.5	0.006
328.0	0.005
328.5	0.005
329.0	0.005
329.5	0.004
330.0	0.003
330.5	0.002
331.0	0.003
331.5	0.005
332.0	0.005
332.5	0.005
333.0	0.004
333.5	0.003
334.0	0.002
334.5	0.003
335.0	0.004
335.5	0.003
336.0	0.003
336.5	0.004
337.0	0.004
337.5	0.005
338.0	0.005
338.5	0.003
339.0	0.001
339.5	0.000
340.0	0.000
