5/28/2024 12:45 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.20667	
//WLCalib: 261S 	0.00000	
//WLCalib: 362S 	-0.20000	
//WLCalib: 484S 	0.08000	
//WLCalib: 529S 	0.39000	
//WLCalib: 823S 	-0.42000	
//QSpecEnd: 
220.0	0.268
220.5	0.257
221.0	0.249
221.5	0.243
222.0	0.234
222.5	0.228
223.0	0.221
223.5	0.218
224.0	0.213
224.5	0.209
225.0	0.206
225.5	0.206
226.0	0.205
226.5	0.202
227.0	0.203
227.5	0.204
228.0	0.204
228.5	0.203
229.0	0.202
229.5	0.203
230.0	0.203
230.5	0.204
231.0	0.203
231.5	0.205
232.0	0.205
232.5	0.206
233.0	0.206
233.5	0.207
234.0	0.210
234.5	0.211
235.0	0.213
235.5	0.215
236.0	0.219
236.5	0.224
237.0	0.229
237.5	0.235
238.0	0.243
238.5	0.253
239.0	0.262
239.5	0.272
240.0	0.280
240.5	0.288
241.0	0.294
241.5	0.301
242.0	0.309
242.5	0.316
243.0	0.327
243.5	0.336
244.0	0.346
244.5	0.356
245.0	0.364
245.5	0.371
246.0	0.378
246.5	0.384
247.0	0.388
247.5	0.395
248.0	0.399
248.5	0.405
249.0	0.410
249.5	0.414
250.0	0.418
250.5	0.421
251.0	0.424
251.5	0.427
252.0	0.428
252.5	0.431
253.0	0.434
253.5	0.436
254.0	0.440
254.5	0.444
255.0	0.445
255.5	0.448
256.0	0.452
256.5	0.455
257.0	0.459
257.5	0.462
258.0	0.462
258.5	0.463
259.0	0.464
259.5	0.465
260.0	0.464
260.5	0.462
261.0	0.461
261.5	0.460
262.0	0.458
262.5	0.458
263.0	0.455
263.5	0.451
264.0	0.445
264.5	0.440
265.0	0.433
265.5	0.428
266.0	0.424
266.5	0.418
267.0	0.412
267.5	0.407
268.0	0.401
268.5	0.398
269.0	0.393
269.5	0.388
270.0	0.382
270.5	0.376
271.0	0.372
271.5	0.368
272.0	0.363
272.5	0.360
273.0	0.354
273.5	0.348
274.0	0.342
274.5	0.336
275.0	0.331
275.5	0.324
276.0	0.316
276.5	0.310
277.0	0.301
277.5	0.294
278.0	0.287
278.5	0.279
279.0	0.270
279.5	0.263
280.0	0.253
280.5	0.246
281.0	0.238
281.5	0.231
282.0	0.223
282.5	0.216
283.0	0.207
283.5	0.199
284.0	0.191
284.5	0.184
285.0	0.178
285.5	0.172
286.0	0.163
286.5	0.154
287.0	0.144
287.5	0.137
288.0	0.128
288.5	0.121
289.0	0.114
289.5	0.107
290.0	0.100
290.5	0.094
291.0	0.086
291.5	0.078
292.0	0.070
292.5	0.063
293.0	0.057
293.5	0.052
294.0	0.048
294.5	0.043
295.0	0.037
295.5	0.035
296.0	0.031
296.5	0.027
297.0	0.023
297.5	0.019
298.0	0.017
298.5	0.016
299.0	0.014
299.5	0.012
300.0	0.011
300.5	0.008
301.0	0.006
301.5	0.004
302.0	0.004
302.5	0.003
303.0	0.000
303.5	-0.002
304.0	-0.002
304.5	-0.002
305.0	-0.001
305.5	-0.001
306.0	-0.002
306.5	-0.002
307.0	-0.003
307.5	-0.003
308.0	-0.001
308.5	0.000
309.0	0.000
309.5	0.000
310.0	0.000
310.5	0.002
311.0	0.003
311.5	0.003
312.0	0.002
312.5	0.001
313.0	0.002
313.5	0.001
314.0	0.001
314.5	0.002
315.0	0.002
315.5	0.002
316.0	0.002
316.5	0.002
317.0	-0.001
317.5	-0.002
318.0	-0.002
318.5	-0.005
319.0	-0.005
319.5	-0.006
320.0	-0.006
320.5	-0.010
321.0	-0.010
321.5	-0.011
322.0	-0.012
322.5	-0.012
323.0	-0.014
323.5	-0.014
324.0	-0.015
324.5	-0.015
325.0	-0.017
325.5	-0.017
326.0	-0.015
326.5	-0.014
327.0	-0.012
327.5	-0.010
328.0	-0.008
328.5	-0.008
329.0	-0.007
329.5	-0.007
330.0	-0.007
330.5	-0.006
331.0	-0.006
331.5	-0.003
332.0	-0.003
332.5	-0.002
333.0	-0.001
333.5	0.000
334.0	-0.001
334.5	-0.001
335.0	0.000
335.5	-0.001
336.0	0.000
336.5	0.000
337.0	0.001
