frame,MSD,time
0,0.0,0.0
1,0.056815,0.061
2,0.081501,0.122
3,0.117054,0.183
4,0.171437,0.244
5,0.179553,0.305
6,0.22629,0.366
7,0.252375,0.427
8,0.294938,0.488
9,0.32006,0.549
10,0.392752,0.61
11,0.333193,0.671
12,0.375933,0.732
13,0.406519,0.793
14,0.473995,0.854
15,0.493503,0.915
16,0.482721,0.976
17,0.505351,1.037
18,0.568652,1.098
19,0.618949,1.159
20,0.678466,1.22
21,0.740016,1.281
22,0.763911,1.342
23,0.705095,1.403
24,0.791554,1.464
25,0.823341,1.525
26,0.815012,1.586
27,0.80455,1.647
28,0.920792,1.708
29,0.98617,1.769
30,0.996303,1.83
31,1.112928,1.891
32,1.132277,1.952
33,1.157227,2.013
34,1.208063,2.074
35,1.228046,2.135
36,1.18988,2.196
37,1.285903,2.257
38,1.29222,2.318
39,1.317507,2.379
40,1.381766,2.44
41,1.450031,2.501
42,1.478416,2.562
43,1.474039,2.623
44,1.460636,2.684
45,1.450536,2.745
46,1.479495,2.806
47,1.489222,2.867
48,1.458672,2.928
49,1.405366,2.989
50,1.485746,3.05
51,1.658407,3.111
52,1.617727,3.172
53,1.604777,3.233
54,1.683238,3.294
55,1.747118,3.355
56,1.654995,3.416
57,1.597,3.477
58,1.81862,3.538
59,1.84244,3.599
60,1.725082,3.66
61,1.782216,3.721
62,1.71147,3.782
63,1.81104,3.843
64,1.915944,3.904
65,1.912253,3.965
66,1.999243,4.026
67,2.049498,4.087
68,2.069841,4.148
69,2.158923,4.209
70,2.242219,4.27
71,2.268204,4.331
72,2.246022,4.392
73,2.393539,4.453
74,2.378712,4.514
75,2.325953,4.575
76,2.256891,4.636
77,2.237005,4.697
78,2.158211,4.758
79,2.120127,4.819
80,2.016143,4.88
81,2.10445,4.941
82,2.081124,5.002
83,2.016818,5.063
84,2.123498,5.124
85,2.434305,5.185
86,2.484968,5.246
87,2.512924,5.307
88,2.474338,5.368
89,2.483349,5.429
90,2.540621,5.49
91,2.55848,5.551
92,2.422208,5.612
93,2.63566,5.673
94,2.61005,5.734
95,2.693267,5.795
96,2.682637,5.856
97,2.753149,5.917
98,2.878304,5.978
99,2.714381,6.039
100,2.820755,6.1
101,2.921725,6.161
102,2.979247,6.222
103,2.802906,6.283
104,2.704218,6.344
105,2.619855,6.405
106,2.384847,6.466
107,2.598549,6.527
108,2.896241,6.588
109,2.733994,6.649
110,2.424246,6.71
111,2.480965,6.771
112,2.157212,6.832
113,2.160144,6.893
114,1.983975,6.954
115,2.096971,7.015
116,1.916216,7.076
117,2.013834,7.137
118,1.9878,7.198
119,1.886037,7.259
120,1.850933,7.32
121,1.934049,7.381
122,1.957019,7.442
123,1.760648,7.503
124,1.853752,7.564
125,1.729891,7.625
126,1.726514,7.686
127,1.698469,7.747
128,1.747252,7.808
129,1.813249,7.869
130,1.890889,7.93
