frame,MSD,time
0,0.0,0.0
1,0.057517,0.05
2,0.099645,0.1
3,0.169967,0.15
4,0.239951,0.2
5,0.337244,0.25
6,0.389509,0.3
7,0.438689,0.35
8,0.46332,0.4
9,0.501757,0.45
10,0.579511,0.5
11,0.663866,0.55
12,0.771401,0.6
13,0.875978,0.65
14,0.918199,0.7
15,0.994941,0.75
16,1.106837,0.8
17,1.109622,0.85
18,1.124725,0.9
19,1.290203,0.95
20,1.346559,1.0
21,1.349279,1.05
22,1.383267,1.1
23,1.645346,1.15
24,1.673509,1.2
25,1.752337,1.25
26,1.802401,1.3
27,1.664466,1.35
28,1.858699,1.4
29,1.957824,1.45
30,1.895079,1.5
31,1.884021,1.55
32,2.057597,1.6
33,1.906971,1.65
34,2.04358,1.7
35,2.043253,1.75
36,2.021437,1.8
37,2.027308,1.85
38,2.403689,1.9
39,2.310918,1.95
40,2.435605,2.0
41,2.831353,2.05
42,3.002248,2.1
43,3.189041,2.15
44,3.347948,2.2
45,3.301082,2.25
46,3.512068,2.3
47,3.788375,2.35
48,3.899979,2.4
49,3.966457,2.45
50,4.112609,2.5
51,4.038819,2.55
52,4.213476,2.6
53,4.236072,2.65
54,5.098,2.7
55,4.790968,2.75
56,4.598644,2.8
57,4.989478,2.85
58,5.216935,2.9
59,5.152478,2.95
60,5.222249,3.0
61,5.413866,3.05
62,5.597186,3.1
63,6.062812,3.15
64,5.757408,3.2
65,5.762793,3.25
66,5.567159,3.3
67,5.608516,3.35
68,5.667838,3.4
69,5.91002,3.45
70,6.230304,3.5
71,6.672118,3.55
72,6.491508,3.6
73,6.393473,3.65
74,6.53106,3.7
75,6.625249,3.75
76,7.00153,3.8
77,5.810827,3.85
78,7.389982,3.9
79,7.126007,3.95
80,7.924074,4.0
81,8.362101,4.05
82,8.706031,4.1
83,8.672155,4.15
84,8.504576,4.2
85,7.976186,4.25
86,8.079785,4.3
87,8.16192,4.35
88,7.798641,4.4
89,5.039875,4.45
90,7.934581,4.5
91,8.292457,4.55
92,8.738237,4.6
93,8.143012,4.65
94,9.029918,4.7
95,9.100461,4.75
96,7.842181,4.8
97,7.155081,4.85
98,8.08792,4.9
99,7.381181,4.95
100,6.197201,5.0
101,6.34135,5.05
102,3.785981,5.1
103,5.90817,5.15
104,5.391841,5.2
105,5.692805,5.25
106,5.492442,5.3
107,5.884134,5.35
108,5.960581,5.4
109,6.35984,5.45
110,6.351156,5.5
111,6.341249,5.55
112,3.903274,5.6
113,3.792081,5.65
114,3.797964,5.7
115,3.904879,5.75
116,3.489756,5.8
117,3.412952,5.85
118,3.385323,5.9
119,3.605154,5.95
120,3.643756,6.0
121,3.951567,6.05
122,4.03115,6.1
123,4.082143,6.15
124,4.812514,6.2
125,5.700133,6.25
126,5.788257,6.3
127,5.75719,6.35
128,5.39684,6.4
129,5.921616,6.45
130,5.828756,6.5
131,5.824739,6.55
132,6.327728,6.6
133,6.049855,6.65
134,5.67634,6.7
135,6.380975,6.75
136,5.793608,6.8
137,5.705396,6.85
138,6.342544,6.9
139,6.61619,6.95
140,6.952584,7.0
141,5.551234,7.05
142,5.516799,7.1
143,6.630172,7.15
144,5.721316,7.2
145,7.0363,7.25
146,8.996839,7.3
147,6.55644,7.35
148,3.8159,7.4
149,4.197078,7.45
150,3.611354,7.5
151,4.34172,7.55
152,4.278996,7.6
153,4.663596,7.65
154,4.206542,7.7
155,4.235025,7.75
156,4.268068,7.8
157,5.147606,7.85
158,4.71542,7.9
159,4.603454,7.95
160,4.495829,8.0
161,4.722566,8.05
162,4.946867,8.1
163,4.908505,8.15
164,5.259125,8.2
165,5.335721,8.25
166,5.428093,8.3
167,5.658308,8.35
168,5.313668,8.4
169,5.036756,8.45
170,5.269554,8.5
171,5.925697,8.55
172,6.050075,8.6
173,6.216063,8.65
174,6.725244,8.7
175,6.128441,8.75
176,6.54661,8.8
177,4.637414,8.85
178,7.20223,8.9
179,7.338345,8.95
180,7.128793,9.0
181,5.47381,9.05
182,6.070613,9.1
183,6.56679,9.15
184,6.758187,9.2
185,0.990884,9.25
186,1.118647,9.3
187,1.220297,9.35
188,1.402318,9.4
189,1.286436,9.45
190,1.32418,9.5
191,1.228177,9.55
192,1.143703,9.6
193,0.860923,9.65
194,0.77429,9.7
195,0.772814,9.75
196,0.934772,9.8
197,0.876643,9.85
198,0.886767,9.9
199,0.032087,9.95
200,0.005876,10.0
201,0.015499,10.05
202,0.001354,10.1
203,0.00739,10.15
204,0.163159,10.2
205,0.403861,10.25
206,0.242471,10.3
207,0.377621,10.35
208,0.365925,10.4
209,0.27066,10.45
210,0.082659,10.5
211,0.0528,10.55
212,0.045081,10.6
213,0.048109,10.65
214,0.109801,10.7
215,0.21305,10.75
216,0.067534,10.8
217,0.04953,10.85
218,0.028372,10.9
219,0.040305,10.95
220,0.090843,11.0
221,0.180785,11.05
222,0.120762,11.1
223,0.187916,11.15
224,0.24714,11.2
225,0.349915,11.25
226,0.113904,11.3
227,0.273203,11.35
228,0.181155,11.4
229,0.153836,11.45
230,0.164415,11.5
231,0.150241,11.55
232,0.140554,11.6
233,0.10459,11.65
234,0.178552,11.7
235,0.070377,11.75
236,0.076523,11.8
237,0.073781,11.85
238,0.199463,11.9
239,0.113525,11.95
240,0.276756,12.0
241,0.286683,12.05
242,0.0833,12.1
243,0.218408,12.15
244,0.19884,12.2
245,0.10553,12.25
246,0.137937,12.3
247,0.134917,12.35
248,0.060733,12.4
249,0.124845,12.45
250,0.210501,12.5
251,0.276692,12.55
252,0.250828,12.6
253,0.188187,12.65
254,0.182985,12.7
255,0.360108,12.75
256,0.223627,12.8
257,0.377074,12.85
258,0.337575,12.9
259,0.181478,12.95
260,0.204898,13.0
261,0.225827,13.05
262,0.260745,13.1
263,0.167131,13.15
264,0.110458,13.2
265,0.195597,13.25
266,0.195076,13.3
267,0.098421,13.35
268,0.127279,13.4
269,0.2127,13.45
270,0.209328,13.5
271,0.14943,13.55
272,0.122484,13.6
273,0.098816,13.65
274,0.121449,13.7
275,0.042181,13.75
276,0.109748,13.8
277,0.152245,13.85
278,0.223672,13.9
279,0.215899,13.95
280,0.337061,14.0
281,0.079286,14.05
282,0.157934,14.1
283,0.225623,14.15
284,0.126451,14.2
285,0.143861,14.25
286,0.110803,14.3
287,0.178038,14.35
288,0.238008,14.4
289,0.292765,14.45
290,0.254847,14.5
291,0.184468,14.55
292,0.202919,14.6
293,0.145944,14.65
294,0.088867,14.7
295,0.014239,14.75
296,0.068316,14.8
297,0.123928,14.85
298,0.243673,14.9
299,0.17548,14.95
