frame,MSD,time
0,0.0,0.0
1,0.090338,0.05
2,0.176022,0.1
3,0.213047,0.15
4,0.313643,0.2
5,0.352436,0.25
6,0.478228,0.3
7,0.486986,0.35
8,0.568209,0.4
9,0.70995,0.45
10,0.700908,0.5
11,0.716581,0.55
12,0.812979,0.6
13,0.95152,0.65
14,0.919294,0.7
15,1.112931,0.75
16,1.117758,0.8
17,1.193632,0.85
18,1.211344,0.9
19,1.274696,0.95
20,1.363049,1.0
21,1.40028,1.05
22,1.492614,1.1
23,1.622586,1.15
24,1.69769,1.2
25,1.496352,1.25
26,1.534349,1.3
27,1.610332,1.35
28,1.699789,1.4
29,1.61239,1.45
30,1.702249,1.5
31,1.739473,1.55
32,1.811729,1.6
33,1.936115,1.65
34,1.949447,1.7
35,1.963225,1.75
36,2.076752,1.8
37,2.036723,1.85
38,1.966133,1.9
39,2.056352,1.95
40,2.20869,2.0
41,2.10413,2.05
42,2.186351,2.1
43,2.329882,2.15
44,2.329275,2.2
45,2.385504,2.25
46,2.5234,2.3
47,2.230563,2.35
48,2.360198,2.4
49,2.456974,2.45
50,2.316858,2.5
51,2.565374,2.55
52,2.625403,2.6
53,2.604482,2.65
54,2.568635,2.7
55,2.758555,2.75
56,3.094469,2.8
57,3.358208,2.85
58,3.643042,2.9
59,3.534466,2.95
60,4.042377,3.0
61,3.929804,3.05
62,3.763609,3.1
63,4.225055,3.15
64,4.160369,3.2
65,4.239693,3.25
66,4.538631,3.3
67,4.203333,3.35
68,4.201112,3.4
69,4.05415,3.45
70,5.180187,3.5
71,5.137469,3.55
72,4.88388,3.6
73,4.792159,3.65
74,4.646239,3.7
75,5.392681,3.75
76,5.259583,3.8
77,5.761216,3.85
78,5.686653,3.9
79,5.943511,3.95
80,5.980956,4.0
81,5.921549,4.05
82,5.940677,4.1
83,6.041484,4.15
84,5.690351,4.2
85,6.30406,4.25
86,6.40576,4.3
87,6.410997,4.35
88,7.008007,4.4
89,7.904633,4.45
90,7.745913,4.5
91,8.92677,4.55
92,8.724178,4.6
93,8.166012,4.65
94,9.17638,4.7
95,9.247962,4.75
96,9.113941,4.8
97,8.403237,4.85
98,8.558286,4.9
99,9.488179,4.95
100,8.682393,5.0
101,8.653881,5.05
102,9.078798,5.1
103,9.720515,5.15
104,10.015519,5.2
105,10.30673,5.25
106,10.413643,5.3
107,10.434691,5.35
108,10.931901,5.4
109,10.962616,5.45
110,12.095035,5.5
111,13.589613,5.55
112,13.051566,5.6
113,12.032322,5.65
114,12.386452,5.7
115,12.066331,5.75
116,12.310732,5.8
117,12.1183,5.85
118,11.955622,5.9
119,11.838688,5.95
120,12.031369,6.0
121,12.181598,6.05
122,12.256076,6.1
123,14.717878,6.15
124,12.336043,6.2
125,13.987485,6.25
126,14.276124,6.3
127,12.941274,6.35
128,12.997544,6.4
129,12.548065,6.45
130,12.995087,6.5
131,13.329205,6.55
132,13.123808,6.6
133,13.417352,6.65
134,13.805175,6.7
135,14.331332,6.75
136,14.372239,6.8
137,14.266471,6.85
138,14.517727,6.9
139,14.235483,6.95
140,15.191233,7.0
141,17.083094,7.05
142,16.89045,7.1
143,18.345656,7.15
144,19.876951,7.2
145,17.131729,7.25
146,19.292503,7.3
147,19.829772,7.35
148,20.873707,7.4
149,18.923311,7.45
150,20.573203,7.5
151,21.620288,7.55
152,21.877711,7.6
153,22.136462,7.65
154,20.345328,7.7
155,20.484008,7.75
156,20.329775,7.8
157,20.682274,7.85
158,19.56613,7.9
159,6.556076,7.95
160,19.055429,8.0
161,19.419084,8.05
162,19.407622,8.1
163,6.854906,8.15
164,7.167828,8.2
165,7.294879,8.25
166,6.794574,8.3
167,7.588767,8.35
168,6.663875,8.4
169,7.063231,8.45
170,7.13048,8.5
171,7.403381,8.55
172,7.059938,8.6
173,7.74154,8.65
174,7.857462,8.7
175,7.535608,8.75
176,7.384217,8.8
177,6.950871,8.85
178,8.504471,8.9
179,9.25461,8.95
180,9.333459,9.0
181,9.207841,9.05
182,9.912491,9.1
183,9.603614,9.15
184,9.862969,9.2
185,8.006459,9.25
186,9.034756,9.3
187,9.512119,9.35
188,9.608559,9.4
189,10.987161,9.45
190,12.482448,9.5
191,11.422526,9.55
192,10.622798,9.6
193,10.63915,9.65
194,11.10059,9.7
195,9.858493,9.75
196,9.037352,9.8
197,10.063114,9.85
198,10.407621,9.9
199,9.641913,9.95
200,8.9166,10.0
201,9.612557,10.05
202,9.796096,10.1
203,11.183668,10.15
204,10.606063,10.2
205,10.452393,10.25
206,9.581626,10.3
207,10.546291,10.35
208,11.509989,10.4
209,10.107577,10.45
210,10.454671,10.5
211,10.210141,10.55
212,7.443935,10.6
213,6.902558,10.65
214,6.751633,10.7
215,11.783694,10.75
216,6.228633,10.8
217,9.610229,10.85
218,5.466974,10.9
219,10.096583,10.95
220,5.41003,11.0
221,10.478682,11.05
222,13.813464,11.1
223,10.13456,11.15
224,10.478817,11.2
225,10.318371,11.25
226,6.942297,11.3
227,6.411303,11.35
228,6.079861,11.4
229,6.677413,11.45
230,5.902429,11.5
231,5.249737,11.55
232,5.148285,11.6
233,5.727577,11.65
234,6.33577,11.7
235,5.632862,11.75
236,16.063948,11.8
237,7.087048,11.85
238,7.984864,11.9
239,7.082808,11.95
240,0.0,12.0
241,9.761949,12.05
242,10.147636,12.1
243,10.648005,12.15
244,19.86659,12.2
245,19.804304,12.25
246,20.269078,12.3
247,19.400558,12.35
248,19.761734,12.4
