frame,MSD,time
0,0.0,0.0
1,0.102945,0.05
2,0.205822,0.1
3,0.227396,0.15
4,0.326942,0.2
5,0.357482,0.25
6,0.406673,0.3
7,0.569611,0.35
8,0.638523,0.4
9,0.689171,0.45
10,0.734366,0.5
11,0.756831,0.55
12,0.86439,0.6
13,0.887748,0.65
14,0.923293,0.7
15,0.969485,0.75
16,1.085339,0.8
17,1.162889,0.85
18,1.274347,0.9
19,1.359912,0.95
20,1.341541,1.0
21,1.328639,1.05
22,1.294778,1.1
23,1.333431,1.15
24,1.32265,1.2
25,1.303266,1.25
26,1.321954,1.3
27,1.500386,1.35
28,1.456573,1.4
29,1.401472,1.45
30,1.448394,1.5
31,1.585188,1.55
32,1.679772,1.6
33,1.816967,1.65
34,2.000632,1.7
35,1.865957,1.75
36,2.047816,1.8
37,2.067952,1.85
38,2.043736,1.9
39,2.164163,1.95
40,1.94567,2.0
41,2.1134,2.05
42,2.174326,2.1
43,2.297507,2.15
44,2.273785,2.2
45,2.230814,2.25
46,2.274807,2.3
47,2.3057,2.35
48,2.266059,2.4
49,2.446314,2.45
50,2.50834,2.5
51,2.572705,2.55
52,2.745782,2.6
53,2.671976,2.65
54,2.68406,2.7
55,2.959721,2.75
56,2.735774,2.8
57,2.633883,2.85
58,2.486946,2.9
59,2.73499,2.95
60,2.926011,3.0
61,3.013644,3.05
62,2.96377,3.1
63,2.757101,3.15
64,2.564556,3.2
65,2.673698,3.25
66,2.93337,3.3
67,2.876126,3.35
68,2.626191,3.4
69,2.549601,3.45
70,2.637071,3.5
71,2.692409,3.55
72,2.972921,3.6
73,2.863305,3.65
74,2.585938,3.7
75,2.792723,3.75
76,3.147908,3.8
77,3.249878,3.85
78,3.242159,3.9
79,2.531091,3.95
80,3.326029,4.0
81,3.346464,4.05
82,3.92069,4.1
83,3.331093,4.15
84,3.222543,4.2
85,3.541283,4.25
86,3.735054,4.3
87,3.96019,4.35
88,3.36487,4.4
89,3.095746,4.45
90,3.45691,4.5
91,3.433246,4.55
92,3.903918,4.6
93,3.838482,4.65
94,3.815497,4.7
95,4.375898,4.75
96,4.1612,4.8
97,4.001923,4.85
98,3.428051,4.9
99,4.2543,4.95
100,4.024297,5.0
101,3.778119,5.05
102,4.416662,5.1
103,4.237161,5.15
104,4.459412,5.2
105,4.704138,5.25
106,4.151596,5.3
107,4.376921,5.35
108,4.834627,5.4
109,4.810602,5.45
110,4.783156,5.5
111,4.511399,5.55
112,5.178318,5.6
113,5.11517,5.65
114,5.653161,5.7
115,5.428924,5.75
116,5.460161,5.8
117,5.386948,5.85
118,6.262964,5.9
119,6.290271,5.95
120,7.147955,6.0
121,5.989807,6.05
122,6.598888,6.1
123,6.107885,6.15
124,5.903209,6.2
125,6.630871,6.25
126,6.668996,6.3
127,6.395407,6.35
128,5.976393,6.4
129,6.014819,6.45
130,6.269799,6.5
131,6.344318,6.55
132,6.541446,6.6
133,6.403852,6.65
134,6.641228,6.7
135,6.245463,6.75
136,6.315596,6.8
137,6.871383,6.85
138,8.801938,6.9
139,9.333523,6.95
140,8.264425,7.0
141,7.953233,7.05
142,10.067347,7.1
143,11.899849,7.15
144,12.688725,7.2
145,11.35204,7.25
146,10.592863,7.3
147,12.130161,7.35
148,11.977106,7.4
149,13.095682,7.45
150,11.858182,7.5
151,12.783196,7.55
152,11.928605,7.6
153,13.492561,7.65
154,11.897968,7.7
155,13.124193,7.75
156,13.078018,7.8
157,13.239425,7.85
158,13.1405,7.9
159,11.606393,7.95
160,10.621351,8.0
161,10.481698,8.05
162,10.701791,8.1
163,10.97348,8.15
164,10.314405,8.2
165,9.965824,8.25
166,9.587397,8.3
167,10.188294,8.35
168,10.261742,8.4
169,11.232229,8.45
170,0.050192,8.5
171,0.018562,8.55
172,0.049252,8.6
173,0.026363,8.65
174,0.018773,8.7
175,0.0558,8.75
176,0.023645,8.8
177,0.049078,8.85
178,0.167797,8.9
179,0.008233,8.95
180,0.025128,9.0
181,0.012236,9.05
182,0.031963,9.1
183,0.022945,9.15
184,0.024614,9.2
185,0.015068,9.25
186,0.023743,9.3
187,3.68711,9.35
188,3.878969,9.4
189,3.912563,9.45
190,3.824328,9.5
191,0.0,9.55
192,4.191273,9.6
193,3.538301,9.65
194,3.845301,9.7
195,3.968566,9.75
196,0.0,9.8
197,3.686195,9.85
198,3.468782,9.9
199,3.181131,9.95
200,3.291941,10.0
201,3.162636,10.05
202,3.688648,10.1
203,3.203809,10.15
204,3.232942,10.2
205,2.864511,10.25
206,3.531906,10.3
207,3.301411,10.35
208,3.202515,10.4
209,2.948809,10.45
210,3.599179,10.5
211,0.0,10.55
212,3.335769,10.6
213,3.53156,10.65
214,2.842588,10.7
215,3.292304,10.75
216,3.379644,10.8
217,3.553611,10.85
218,3.166441,10.9
219,2.926569,10.95
220,2.88448,11.0
221,0.0,11.05
222,0.0,11.1
223,0.719015,11.15
224,3.451329,11.2
225,3.185448,11.25
226,3.717282,11.3
227,2.945988,11.35
228,3.437869,11.4
229,3.241402,11.45
230,2.832074,11.5
231,3.433559,11.55
232,3.308353,11.6
233,3.28251,11.65
234,3.700347,11.7
235,3.567267,11.75
236,3.444368,11.8
237,3.126079,11.85
238,3.624334,11.9
239,3.599415,11.95
240,2.876677,12.0
241,3.791286,12.05
242,3.225727,12.1
243,3.29685,12.15
244,3.923169,12.2
245,3.849557,12.25
246,3.034929,12.3
247,3.26894,12.35
248,3.194946,12.4
249,3.491978,12.45
250,2.85609,12.5
251,3.150852,12.55
252,3.319531,12.6
253,3.155146,12.65
254,3.77322,12.7
255,3.350348,12.75
256,3.166441,12.8
257,3.160897,12.85
258,3.066128,12.9
259,2.773692,12.95
260,3.715328,13.0
261,3.320238,13.05
262,3.313641,13.1
263,3.471071,13.15
264,3.097843,13.2
