frame,MSD,time
0,0.0,0.0
1,0.193073,0.05
2,0.306694,0.1
3,0.361635,0.15
4,0.481617,0.2
5,0.590142,0.25
6,0.662026,0.3
7,0.814419,0.35
8,0.833013,0.4
9,1.042768,0.45
10,1.13871,0.5
11,1.183244,0.55
12,1.419145,0.6
13,1.555753,0.65
14,1.758011,0.7
15,1.892338,0.75
16,1.943191,0.8
17,2.214806,0.85
18,2.306531,0.9
19,2.426992,0.95
20,2.631201,1.0
21,2.756914,1.05
22,2.783032,1.1
23,3.134097,1.15
24,3.269441,1.2
25,3.370042,1.25
26,3.735793,1.3
27,3.960053,1.35
28,4.224167,1.4
29,4.582778,1.45
30,4.705769,1.5
31,4.549152,1.55
32,4.864968,1.6
33,5.539477,1.65
34,5.652512,1.7
35,5.745589,1.75
36,5.715677,1.8
37,5.887487,1.85
38,5.603427,1.9
39,5.939616,1.95
40,6.258466,2.0
41,6.544249,2.05
42,6.555909,2.1
43,7.216247,2.15
44,7.36195,2.2
45,7.73854,2.25
46,7.872454,2.3
47,8.387033,2.35
48,8.679762,2.4
49,9.315816,2.45
50,9.511608,2.5
51,9.460274,2.55
52,9.875958,2.6
53,10.206587,2.65
54,10.496603,2.7
55,10.985096,2.75
56,11.402804,2.8
57,12.036709,2.85
58,13.045894,2.9
59,13.094469,2.95
60,12.877985,3.0
61,13.560083,3.05
62,14.64197,3.1
63,15.167651,3.15
64,15.576483,3.2
65,15.202213,3.25
66,15.537275,3.3
67,16.398879,3.35
68,16.036108,3.4
69,16.692697,3.45
70,17.587499,3.5
71,18.846077,3.55
72,20.334158,3.6
73,20.2356,3.65
74,21.077008,3.7
75,21.482547,3.75
76,23.09552,3.8
77,23.269281,3.85
78,24.223203,3.9
79,25.322811,3.95
80,24.668017,4.0
81,26.655348,4.05
82,27.322741,4.1
83,26.758746,4.15
84,30.083175,4.2
85,31.885228,4.25
86,32.143756,4.3
87,31.58537,4.35
88,31.826293,4.4
89,32.094317,4.45
90,31.356399,4.5
91,31.060267,4.55
92,33.285781,4.6
93,34.585479,4.65
94,35.094554,4.7
95,34.644315,4.75
96,33.115827,4.8
97,34.259705,4.85
98,35.152131,4.9
99,33.115335,4.95
100,34.752713,5.0
101,41.475209,5.05
102,41.183595,5.1
103,43.628744,5.15
104,43.458772,5.2
105,46.060547,5.25
106,45.857702,5.3
107,46.42835,5.35
108,46.503567,5.4
109,48.141639,5.45
110,45.873789,5.5
111,44.510068,5.55
112,42.462323,5.6
113,34.117619,5.65
114,43.520017,5.7
115,37.207227,5.75
116,36.611446,5.8
117,42.691929,5.85
118,43.347444,5.9
119,38.932745,5.95
120,47.376328,6.0
121,40.61428,6.05
122,47.977578,6.1
123,40.595809,6.15
124,41.340582,6.2
125,47.671274,6.25
126,43.753148,6.3
127,46.205723,6.35
128,47.235724,6.4
129,49.497709,6.45
130,51.526114,6.5
131,37.207225,6.55
132,38.901911,6.6
133,39.04716,6.65
134,39.769265,6.7
135,39.970143,6.75
136,38.121294,6.8
137,40.370565,6.85
138,41.348353,6.9
139,41.815088,6.95
140,44.174956,7.0
141,44.099444,7.05
142,44.739361,7.1
143,44.877777,7.15
144,45.386042,7.2
145,45.151906,7.25
146,47.033145,7.3
147,46.052394,7.35
148,46.977974,7.4
149,50.49153,7.45
150,53.03832,7.5
151,52.748285,7.55
152,52.696551,7.6
153,57.068111,7.65
154,54.529564,7.7
155,53.903517,7.75
156,54.674896,7.8
157,55.623166,7.85
158,68.038359,7.9
159,68.439139,7.95
160,58.135465,8.0
161,71.758692,8.05
162,72.569996,8.1
163,73.570525,8.15
164,71.861107,8.2
165,74.586866,8.25
166,74.662672,8.3
167,72.828356,8.35
168,73.392078,8.4
169,76.432747,8.45
170,75.022445,8.5
171,79.37221,8.55
172,81.412388,8.6
173,81.329433,8.65
174,80.348124,8.7
175,79.937393,8.75
176,84.799508,8.8
177,86.270619,8.85
178,87.061989,8.9
179,87.82831,8.95
180,89.525801,9.0
181,93.9879,9.05
182,92.690183,9.1
183,93.755484,9.15
184,94.114665,9.2
185,94.55687,9.25
186,100.672913,9.3
187,104.773659,9.35
188,101.919378,9.4
189,105.093925,9.45
190,87.470922,9.5
191,90.848091,9.55
192,87.294658,9.6
193,87.308578,9.65
194,86.110678,9.7
195,91.786307,9.75
196,95.315001,9.8
197,95.542815,9.85
198,97.699939,9.9
199,95.270881,9.95
200,97.851898,10.0
201,0.0,10.05
202,0.0,10.1
203,0.0,10.15
204,101.373671,10.2
205,0.0,10.25
206,0.0,10.3
207,0.0,10.35
208,0.0,10.4
209,0.0,10.45
210,0.0,10.5
211,0.0,10.55
212,0.0,10.6
213,0.0,10.65
214,0.0,10.7
215,0.0,10.75
216,0.0,10.8
217,0.0,10.85
218,0.0,10.9
219,0.0,10.95
220,0.0,11.0
221,0.0,11.05
222,0.0,11.1
223,0.0,11.15
224,0.0,11.2
225,0.0,11.25
226,0.0,11.3
227,0.0,11.35
228,0.0,11.4
229,0.0,11.45
230,0.0,11.5
231,0.0,11.55
232,0.0,11.6
233,0.0,11.65
234,0.0,11.7
235,0.0,11.75
236,0.0,11.8
237,0.0,11.85
238,0.0,11.9
239,0.0,11.95
240,0.0,12.0
241,0.0,12.05
242,0.0,12.1
243,0.0,12.15
244,0.0,12.2
245,0.0,12.25
246,0.0,12.3
247,0.0,12.35
248,0.0,12.4
249,0.0,12.45
250,0.0,12.5
251,0.0,12.55
252,0.0,12.6
253,0.0,12.65
254,0.0,12.7
255,0.0,12.75
256,0.0,12.8
257,0.0,12.85
258,0.0,12.9
259,0.0,12.95
260,0.0,13.0
261,0.0,13.05
262,0.0,13.1
263,0.0,13.15
264,0.0,13.2
265,0.0,13.25
266,0.0,13.3
267,0.0,13.35
268,0.0,13.4
269,0.0,13.45
270,0.0,13.5
271,0.0,13.55
272,0.0,13.6
273,0.0,13.65
274,0.0,13.7
275,0.0,13.75
276,0.0,13.8
277,0.0,13.85
278,0.0,13.9
279,0.0,13.95
280,0.0,14.0
281,0.0,14.05
282,0.0,14.1
283,0.0,14.15
284,0.0,14.2
285,0.0,14.25
286,0.0,14.3
287,0.0,14.35
288,0.0,14.4
289,0.0,14.45
290,0.0,14.5
291,0.0,14.55
292,0.0,14.6
293,0.0,14.65
294,0.0,14.7
295,0.0,14.75
296,0.0,14.8
297,0.0,14.85
298,0.0,14.9
299,0.0,14.95
