frame,MSD,time
0,0.0,0.0
1,0.125618,0.05
2,0.183157,0.1
3,0.329476,0.15
4,0.454618,0.2
5,0.631309,0.25
6,0.684127,0.3
7,0.812623,0.35
8,0.855686,0.4
9,0.982488,0.45
10,1.116169,0.5
11,1.201983,0.55
12,1.339955,0.6
13,1.439015,0.65
14,1.561553,0.7
15,1.692148,0.75
16,1.773677,0.8
17,2.042829,0.85
18,2.169412,0.9
19,2.331554,0.95
20,2.482696,1.0
21,2.763365,1.05
22,2.863692,1.1
23,3.037457,1.15
24,3.122819,1.2
25,3.230906,1.25
26,3.370922,1.3
27,3.427403,1.35
28,3.718342,1.4
29,3.796622,1.45
30,4.15889,1.5
31,4.296066,1.55
32,4.38538,1.6
33,4.717274,1.65
34,5.063751,1.7
35,5.151406,1.75
36,5.174185,1.8
37,5.580359,1.85
38,5.549659,1.9
39,5.800737,1.95
40,5.742517,2.0
41,6.387477,2.05
42,6.934891,2.1
43,6.936026,2.15
44,6.943128,2.2
45,7.578379,2.25
46,7.628954,2.3
47,7.722117,2.35
48,8.052673,2.4
49,8.46869,2.45
50,8.316643,2.5
51,8.805539,2.55
52,7.943526,2.6
53,8.934274,2.65
54,8.304948,2.7
55,8.437766,2.75
56,8.377516,2.8
57,8.143414,2.85
58,8.321356,2.9
59,8.58271,2.95
60,8.518182,3.0
61,9.154611,3.05
62,8.800624,3.1
63,8.223887,3.15
64,8.874078,3.2
65,9.453497,3.25
66,9.552025,3.3
67,9.472291,3.35
68,10.179229,3.4
69,10.482751,3.45
70,10.966326,3.5
71,10.769751,3.55
72,11.05271,3.6
73,10.701292,3.65
74,10.901323,3.7
75,11.451262,3.75
76,11.861566,3.8
77,11.578277,3.85
78,12.177729,3.9
79,12.304842,3.95
80,12.04364,4.0
81,12.505701,4.05
82,13.008053,4.1
83,13.306771,4.15
84,13.48094,4.2
85,13.597013,4.25
86,13.164445,4.3
87,13.35581,4.35
88,13.799967,4.4
89,14.198764,4.45
90,14.298683,4.5
91,14.562865,4.55
92,14.579947,4.6
93,15.15608,4.65
94,15.098562,4.7
95,14.806462,4.75
96,16.404272,4.8
97,17.075188,4.85
98,15.794925,4.9
99,14.9953,4.95
100,14.539325,5.0
101,15.097893,5.05
102,15.327197,5.1
103,15.840641,5.15
104,16.094243,5.2
105,16.469488,5.25
106,16.266863,5.3
107,16.963308,5.35
108,16.648016,5.4
109,16.186854,5.45
110,14.467976,5.5
111,15.018235,5.55
112,15.895732,5.6
113,16.76175,5.65
114,16.906257,5.7
115,17.951884,5.75
116,18.402942,5.8
117,18.855809,5.85
118,19.213648,5.9
119,20.320105,5.95
120,21.041369,6.0
121,23.166692,6.05
122,23.541241,6.1
123,23.908253,6.15
124,20.761771,6.2
125,18.29032,6.25
126,19.526157,6.3
127,20.353059,6.35
128,21.736758,6.4
129,21.969799,6.45
130,23.98853,6.5
131,22.091265,6.55
132,22.684767,6.6
133,23.692809,6.65
134,23.403372,6.7
135,22.608186,6.75
136,23.790755,6.8
137,24.245809,6.85
138,25.45228,6.9
139,25.67416,6.95
140,25.544605,7.0
141,25.551071,7.05
142,25.943367,7.1
143,27.363387,7.15
144,25.709791,7.2
145,25.212109,7.25
146,28.046876,7.3
147,26.727473,7.35
148,29.415062,7.4
149,30.067419,7.45
150,32.917436,7.5
151,33.027147,7.55
152,31.227646,7.6
153,29.59207,7.65
154,32.282656,7.7
155,35.177353,7.75
156,34.840466,7.8
157,29.994405,7.85
158,34.992529,7.9
159,34.069977,7.95
160,36.389141,8.0
161,34.495039,8.05
162,35.632744,8.1
163,36.730739,8.15
164,36.765747,8.2
165,36.914848,8.25
166,37.429073,8.3
167,38.352794,8.35
168,38.563566,8.4
169,42.822309,8.45
170,41.386318,8.5
171,41.426615,8.55
172,46.195552,8.6
173,44.002345,8.65
174,44.244627,8.7
175,43.57266,8.75
176,44.400296,8.8
177,45.17321,8.85
178,50.193237,8.9
179,55.390255,8.95
180,61.624171,9.0
181,61.527336,9.05
182,58.064823,9.1
183,56.47827,9.15
184,61.020289,9.2
185,61.134071,9.25
186,59.967464,9.3
187,62.486649,9.35
188,64.06429,9.4
189,65.446396,9.45
190,67.866033,9.5
191,69.71347,9.55
192,71.75591,9.6
193,73.856308,9.65
194,76.161143,9.7
195,78.495234,9.75
196,79.773488,9.8
197,77.552569,9.85
198,78.91214,9.9
199,78.26724,9.95
200,78.701263,10.0
201,81.618245,10.05
202,83.009931,10.1
203,86.430033,10.15
204,87.040062,10.2
205,90.604586,10.25
206,89.290721,10.3
207,64.588533,10.35
208,64.983662,10.4
209,64.977722,10.45
210,61.527374,10.5
211,65.353477,10.55
212,65.773392,10.6
213,64.5019,10.65
214,67.024117,10.7
215,65.948006,10.75
216,67.418863,10.8
217,68.186317,10.85
218,68.108194,10.9
219,65.948483,10.95
220,67.677814,11.0
221,67.989555,11.05
222,70.030931,11.1
223,69.248711,11.15
224,92.14682,11.2
225,74.644775,11.25
226,98.062054,11.3
227,78.77335,11.35
228,78.147785,11.4
229,84.15465,11.45
230,83.496044,11.5
231,114.093685,11.55
232,96.281166,11.6
233,90.12989,11.65
234,95.94067,11.7
235,99.305714,11.75
236,97.700989,11.8
237,97.499222,11.85
238,100.605202,11.9
239,80.734303,11.95
240,80.236305,12.0
241,82.587162,12.05
242,0.0,12.1
243,0.0,12.15
244,0.0,12.2
245,0.0,12.25
246,0.0,12.3
247,0.0,12.35
248,0.0,12.4
249,0.0,12.45
250,0.0,12.5
251,0.0,12.55
252,0.0,12.6
253,0.0,12.65
254,0.0,12.7
255,0.0,12.75
256,0.0,12.8
257,0.0,12.85
258,0.0,12.9
259,0.0,12.95
260,0.0,13.0
261,0.0,13.05
262,0.0,13.1
263,0.0,13.15
264,0.0,13.2
265,0.0,13.25
266,0.0,13.3
267,0.0,13.35
268,0.0,13.4
269,0.0,13.45
270,0.0,13.5
271,0.0,13.55
272,0.0,13.6
273,0.0,13.65
274,0.0,13.7
275,0.0,13.75
276,0.0,13.8
277,0.0,13.85
278,0.0,13.9
279,0.0,13.95
280,0.0,14.0
281,0.0,14.05
282,0.0,14.1
283,0.0,14.15
284,0.0,14.2
285,0.0,14.25
286,0.0,14.3
287,0.0,14.35
288,0.0,14.4
289,0.0,14.45
290,0.0,14.5
291,0.0,14.55
292,0.0,14.6
293,0.0,14.65
294,0.0,14.7
295,0.0,14.75
296,0.0,14.8
297,0.0,14.85
298,0.0,14.9
299,0.0,14.95
