frame,MSD,time
0,0.0,0.0
1,0.253831,0.05
2,0.311963,0.1
3,0.456211,0.15
4,0.547495,0.2
5,0.65875,0.25
6,0.710204,0.3
7,0.762952,0.35
8,0.902786,0.4
9,1.106196,0.45
10,1.235256,0.5
11,1.332621,0.55
12,1.378442,0.6
13,1.397775,0.65
14,1.727062,0.7
15,1.611754,0.75
16,1.795467,0.8
17,1.877378,0.85
18,2.107842,0.9
19,2.177807,0.95
20,2.274173,1.0
21,2.407454,1.05
22,2.540235,1.1
23,2.719527,1.15
24,2.805696,1.2
25,2.727058,1.25
26,3.07278,1.3
27,2.98906,1.35
28,3.171038,1.4
29,3.233352,1.45
30,3.330615,1.5
31,3.58793,1.55
32,3.263116,1.6
33,3.812363,1.65
34,3.793603,1.7
35,4.034095,1.75
36,4.354586,1.8
37,4.253431,1.85
38,4.338223,1.9
39,4.648897,1.95
40,4.34038,2.0
41,4.895527,2.05
42,4.939071,2.1
43,5.244337,2.15
44,5.344683,2.2
45,5.780232,2.25
46,5.634351,2.3
47,5.533816,2.35
48,5.820262,2.4
49,6.239532,2.45
50,6.24733,2.5
51,6.524196,2.55
52,7.043576,2.6
53,7.071059,2.65
54,6.870447,2.7
55,6.779531,2.75
56,7.386081,2.8
57,6.810241,2.85
58,7.302024,2.9
59,7.743213,2.95
60,8.011937,3.0
61,8.344462,3.05
62,8.423036,3.1
63,8.588245,3.15
64,8.902676,3.2
65,8.034379,3.25
66,8.611449,3.3
67,9.317296,3.35
68,9.287021,3.4
69,8.838156,3.45
70,8.459853,3.5
71,8.100636,3.55
72,8.92817,3.6
73,8.074777,3.65
74,9.407943,3.7
75,8.766002,3.75
76,8.987926,3.8
77,10.141844,3.85
78,9.832973,3.9
79,10.1254,3.95
80,10.859035,4.0
81,9.231115,4.05
82,11.312918,4.1
83,12.107846,4.15
84,10.207437,4.2
85,12.679783,4.25
86,13.194491,4.3
87,11.061129,4.35
88,11.239932,4.4
89,11.683526,4.45
90,11.309659,4.5
91,12.77006,4.55
92,13.147457,4.6
93,12.367682,4.65
94,12.793625,4.7
95,12.885439,4.75
96,12.967443,4.8
97,12.533171,4.85
98,13.1625,4.9
99,13.207747,4.95
100,12.960696,5.0
101,13.00202,5.05
102,13.714574,5.1
103,14.898524,5.15
104,14.041755,5.2
105,15.48871,5.25
106,16.096874,5.3
107,14.724453,5.35
108,15.588599,5.4
109,15.842871,5.45
110,15.807722,5.5
111,15.661198,5.55
112,15.68068,5.6
113,15.250449,5.65
114,16.457835,5.7
115,16.260212,5.75
116,16.160808,5.8
117,15.033698,5.85
118,15.893199,5.9
119,15.925157,5.95
120,15.926854,6.0
121,17.429339,6.05
122,17.669448,6.1
123,17.525717,6.15
124,18.146742,6.2
125,17.40849,6.25
126,17.534354,6.3
127,17.756053,6.35
128,17.980448,6.4
129,16.994232,6.45
