frame,MSD,time
0,0.0,0.0
1,0.093567,0.05
2,0.173787,0.1
3,0.275744,0.15
4,0.371521,0.2
5,0.468806,0.25
6,0.566835,0.3
7,0.666388,0.35
8,0.788753,0.4
9,0.979784,0.45
10,1.092542,0.5
11,1.260365,0.55
12,1.304597,0.6
13,1.289661,0.65
14,1.477389,0.7
15,1.547855,0.75
16,1.6596,0.8
17,1.864417,0.85
18,1.911028,0.9
19,1.987462,0.95
20,2.216596,1.0
21,2.348578,1.05
22,2.311997,1.1
23,2.450026,1.15
24,2.711708,1.2
25,2.761386,1.25
26,3.049343,1.3
27,3.158039,1.35
28,3.438957,1.4
29,3.655845,1.45
30,3.482325,1.5
31,3.839342,1.55
32,3.810003,1.6
33,4.09866,1.65
34,4.516132,1.7
35,4.499516,1.75
36,4.570536,1.8
37,4.63459,1.85
38,4.946598,1.9
39,5.192003,1.95
40,5.550797,2.0
41,5.984356,2.05
42,6.086578,2.1
43,6.229268,2.15
44,6.208167,2.2
45,6.449307,2.25
46,6.597944,2.3
47,7.257905,2.35
48,6.689316,2.4
49,6.803546,2.45
50,6.596352,2.5
51,6.609214,2.55
52,6.953843,2.6
53,6.886882,2.65
54,7.69792,2.7
55,8.461737,2.75
56,8.349821,2.8
57,8.484842,2.85
58,8.883815,2.9
59,9.338569,2.95
60,8.644394,3.0
61,9.68666,3.05
62,10.148662,3.1
63,9.646145,3.15
64,9.800072,3.2
65,9.761892,3.25
66,9.774849,3.3
67,10.441602,3.35
68,10.454564,3.4
69,10.776873,3.45
70,10.59378,3.5
71,10.946354,3.55
72,11.438199,3.6
73,12.99786,3.65
74,13.12425,3.7
75,13.677254,3.75
76,14.273576,3.8
77,14.555158,3.85
78,14.76345,3.9
79,15.252517,3.95
80,16.002109,4.0
81,17.3906,4.05
82,17.25299,4.1
83,16.950703,4.15
84,17.902036,4.2
85,17.223112,4.25
86,18.172586,4.3
87,18.024151,4.35
88,18.844084,4.4
89,18.294367,4.45
90,19.403577,4.5
91,19.685165,4.55
92,18.517016,4.6
93,20.5347,4.65
94,20.2213,4.7
95,20.472179,4.75
96,20.461119,4.8
97,20.303854,4.85
98,19.288394,4.9
99,19.065908,4.95
100,17.231492,5.0
101,17.986489,5.05
102,17.082266,5.1
103,17.845191,5.15
104,18.829615,5.2
105,18.176853,5.25
106,18.461749,5.3
107,17.968109,5.35
