frame,MSD,time
0,0.0,0.0
1,0.130807,0.05
2,0.207175,0.1
3,0.288801,0.15
4,0.4425,0.2
5,0.545313,0.25
6,0.706228,0.3
7,0.836118,0.35
8,0.974935,0.4
9,1.048833,0.45
10,1.189895,0.5
11,1.268343,0.55
12,1.326122,0.6
13,1.48812,0.65
14,1.753296,0.7
15,1.788785,0.75
16,1.877646,0.8
17,2.000249,0.85
18,2.004031,0.9
19,2.232413,0.95
20,2.635073,1.0
21,2.659327,1.05
22,2.750932,1.1
23,2.761305,1.15
24,3.101736,1.2
25,3.228776,1.25
26,3.839055,1.3
27,3.364149,1.35
28,3.642361,1.4
29,3.985548,1.45
30,3.731196,1.5
31,3.737212,1.55
32,4.117495,1.6
33,4.617343,1.65
34,4.548767,1.7
35,4.003983,1.75
36,4.669636,1.8
37,4.529809,1.85
38,5.380569,1.9
39,5.302873,1.95
40,5.522245,2.0
41,5.280057,2.05
42,5.753591,2.1
43,6.573017,2.15
44,6.816577,2.2
45,7.208509,2.25
46,7.768984,2.3
47,7.873914,2.35
48,7.987767,2.4
49,8.364011,2.45
50,8.414808,2.5
51,8.251187,2.55
52,8.786475,2.6
53,9.481558,2.65
54,9.653901,2.7
55,9.051413,2.75
56,9.667638,2.8
57,9.607459,2.85
58,10.348643,2.9
59,10.494471,2.95
60,9.768978,3.0
61,10.880515,3.05
62,11.118712,3.1
63,11.572004,3.15
64,12.158863,3.2
65,12.224076,3.25
66,13.632659,3.3
67,14.037678,3.35
68,13.728793,3.4
69,15.010217,3.45
70,14.22806,3.5
71,15.208499,3.55
72,15.253424,3.6
73,17.181431,3.65
74,15.554994,3.7
75,14.263346,3.75
76,18.334715,3.8
77,18.176216,3.85
78,18.303278,3.9
79,16.473634,3.95
80,14.929523,4.0
81,18.589121,4.05
82,16.837438,4.1
83,19.981053,4.15
84,18.01737,4.2
85,13.648494,4.25
86,17.967762,4.3
87,14.005155,4.35
88,14.487815,4.4
89,16.485445,4.45
90,15.904674,4.5
91,15.800471,4.55
92,18.820804,4.6
93,17.739793,4.65
94,15.317572,4.7
95,13.798801,4.75
96,8.387571,4.8
97,13.100134,4.85
98,14.274089,4.9
99,16.897773,4.95
100,8.782683,5.0
101,13.501097,5.05
102,13.264465,5.1
103,9.251406,5.15
104,10.054071,5.2
105,11.160857,5.25
106,11.897962,5.3
107,14.007928,5.35
108,14.263254,5.4
109,14.038613,5.45
110,14.45553,5.5
111,14.205038,5.55
112,13.818044,5.6
113,13.902598,5.65
114,17.613277,5.7
115,18.797428,5.75
116,19.16306,5.8
117,18.815972,5.85
118,19.709403,5.9
119,21.350237,5.95
120,21.090626,6.0
121,23.06285,6.05
122,22.131395,6.1
123,38.565016,6.15
124,39.273795,6.2
125,37.93793,6.25
126,36.348845,6.3
127,36.889413,6.35
128,34.890391,6.4
129,35.231145,6.45
130,36.768407,6.5
131,39.338139,6.55
132,38.156178,6.6
133,40.747077,6.65
134,40.214968,6.7
135,40.897978,6.75
136,41.36309,6.8
137,42.084218,6.85
138,42.781784,6.9
139,41.740063,6.95
140,45.65347,7.0
141,48.635806,7.05
142,0.0,7.1
143,0.0,7.15
144,0.0,7.2
145,0.0,7.25
146,0.0,7.3
147,0.0,7.35
148,0.0,7.4
149,0.0,7.45
150,0.0,7.5
151,0.0,7.55
152,0.0,7.6
153,0.0,7.65
154,0.0,7.7
155,0.0,7.75
156,0.0,7.8
157,0.0,7.85
158,0.0,7.9
159,0.0,7.95
160,0.0,8.0
161,0.0,8.05
162,0.0,8.1
163,0.0,8.15
164,0.0,8.2
165,0.0,8.25
166,0.0,8.3
167,0.0,8.35
168,0.0,8.4
169,0.0,8.45
170,0.0,8.5
171,0.0,8.55
172,0.0,8.6
173,0.0,8.65
174,0.0,8.7
175,0.0,8.75
176,0.0,8.8
177,0.0,8.85
178,0.0,8.9
179,0.0,8.95
180,0.0,9.0
181,0.0,9.05
182,0.0,9.1
183,0.0,9.15
184,0.0,9.2
185,0.0,9.25
186,0.0,9.3
187,0.0,9.35
188,0.0,9.4
189,0.0,9.45
190,0.0,9.5
191,0.0,9.55
192,0.0,9.6
193,0.0,9.65
194,0.0,9.7
195,0.0,9.75
196,0.0,9.8
197,0.0,9.85
198,0.0,9.9
199,0.0,9.95
200,0.0,10.0
201,0.0,10.05
202,0.0,10.1
203,0.0,10.15
204,0.0,10.2
205,0.0,10.25
206,0.0,10.3
