frame,MSD,time
0,0.0,0.0
1,0.1255,0.05
2,0.197278,0.1
3,0.235339,0.15
4,0.349544,0.2
5,0.406052,0.25
6,0.464379,0.3
7,0.466355,0.35
8,0.608362,0.4
9,0.617933,0.45
10,0.749499,0.5
11,0.708666,0.55
12,0.785436,0.6
13,0.879185,0.65
14,0.93425,0.7
15,0.999475,0.75
16,1.096476,0.8
17,1.123623,0.85
18,1.032057,0.9
19,1.20327,0.95
20,1.290975,1.0
21,1.259906,1.05
22,1.158374,1.1
23,1.263037,1.15
24,1.395152,1.2
25,1.377513,1.25
26,1.263355,1.3
27,1.48929,1.35
28,1.457083,1.4
29,1.513833,1.45
30,1.542846,1.5
31,1.650445,1.55
32,1.727317,1.6
33,1.755006,1.65
34,1.822314,1.7
35,1.928688,1.75
36,1.954845,1.8
37,1.847982,1.85
38,2.070528,1.9
39,2.046316,1.95
40,2.276494,2.0
41,2.239229,2.05
42,2.201135,2.1
43,2.260005,2.15
44,2.280379,2.2
45,2.309954,2.25
46,2.441817,2.3
47,2.459264,2.35
48,2.589667,2.4
49,2.778567,2.45
50,2.548073,2.5
51,2.652707,2.55
52,2.712598,2.6
53,2.76749,2.65
54,2.506773,2.7
55,2.923892,2.75
56,3.05906,2.8
57,2.945868,2.85
58,2.973986,2.9
59,2.900782,2.95
60,2.828377,3.0
61,2.93242,3.05
62,2.720393,3.1
63,2.80111,3.15
64,2.619358,3.2
65,2.866763,3.25
66,3.183872,3.3
67,2.847947,3.35
68,2.655352,3.4
69,2.742056,3.45
70,2.934388,3.5
71,2.972254,3.55
72,2.996618,3.6
73,3.178003,3.65
74,3.105985,3.7
75,3.270764,3.75
76,3.759754,3.8
77,3.818651,3.85
78,3.55928,3.9
79,3.411144,3.95
80,4.127166,4.0
81,3.449776,4.05
82,4.517071,4.1
83,3.975604,4.15
84,3.190508,4.2
85,4.084837,4.25
86,4.013056,4.3
87,4.283179,4.35
88,3.529145,4.4
89,3.428356,4.45
90,3.673041,4.5
91,3.694718,4.55
92,3.958049,4.6
93,4.1144,4.65
94,4.014419,4.7
95,3.592781,4.75
96,4.589462,4.8
97,3.74329,4.85
98,3.412363,4.9
99,4.421464,4.95
100,3.786137,5.0
101,3.977893,5.05
102,4.044399,5.1
103,3.872554,5.15
104,4.264888,5.2
105,4.56555,5.25
106,4.699597,5.3
107,4.232741,5.35
108,4.634729,5.4
109,2.793068,5.45
110,4.51346,5.5
111,4.507132,5.55
112,5.260118,5.6
113,5.403497,5.65
114,5.022118,5.7
115,4.624536,5.75
116,5.709024,5.8
117,5.67856,5.85
118,5.117858,5.9
119,5.448164,5.95
120,6.776722,6.0
121,6.021799,6.05
122,6.762625,6.1
123,6.756659,6.15
124,6.729509,6.2
125,6.113737,6.25
126,6.863747,6.3
127,6.856623,6.35
128,6.146782,6.4
129,5.733098,6.45
130,6.272766,6.5
