frame,MSD,time
0,0.0,0.0
1,0.248097,0.05
2,0.461632,0.1
3,0.559844,0.15
4,0.713921,0.2
5,0.552967,0.25
6,0.740712,0.3
7,0.879482,0.35
8,0.881877,0.4
9,1.031456,0.45
10,1.070871,0.5
11,1.26375,0.55
12,1.264299,0.6
13,1.396719,0.65
14,1.438882,0.7
15,1.778443,0.75
16,1.848809,0.8
17,1.989426,0.85
18,1.984166,0.9
19,1.759102,0.95
20,2.1944,1.0
21,1.897334,1.05
22,2.081439,1.1
23,2.346098,1.15
24,2.23164,1.2
25,1.957028,1.25
26,1.997116,1.3
27,2.108285,1.35
28,1.89728,1.4
29,2.180865,1.45
30,2.308805,1.5
31,2.222635,1.55
32,2.345902,1.6
33,2.358336,1.65
34,2.679927,1.7
35,2.662996,1.75
36,2.861879,1.8
37,2.944118,1.85
38,3.078421,1.9
39,2.770674,1.95
40,3.064152,2.0
41,2.776109,2.05
42,2.843959,2.1
43,3.090173,2.15
44,3.079761,2.2
45,3.813626,2.25
46,3.938597,2.3
47,2.899357,2.35
48,3.539557,2.4
49,4.387762,2.45
50,3.187608,2.5
51,2.977208,2.55
52,2.468394,2.6
53,1.568598,2.65
54,1.760517,2.7
55,2.170554,2.75
56,1.694846,2.8
57,1.881974,2.85
58,2.206453,2.9
59,2.229915,2.95
60,2.008637,3.0
61,2.468348,3.05
62,2.154239,3.1
63,2.479746,3.15
64,2.388049,3.2
65,2.844113,3.25
66,2.701718,3.3
67,3.219471,3.35
68,3.344489,3.4
69,2.333365,3.45
70,2.183107,3.5
71,3.037591,3.55
72,3.372844,3.6
73,3.176893,3.65
74,3.123496,3.7
75,3.432767,3.75
76,3.42673,3.8
77,2.998309,3.85
78,3.174069,3.9
79,2.320539,3.95
80,2.012873,4.0
81,2.462361,4.05
82,1.52631,4.1
83,3.879109,4.15
84,2.86987,4.2
85,2.898447,4.25
86,1.099019,4.3
87,4.073341,4.35
88,1.133532,4.4
89,3.704562,4.45
90,4.508175,4.5
91,6.483738,4.55
92,5.506398,4.6
93,5.610319,4.65
94,5.582071,4.7
95,5.801481,4.75
96,6.490986,4.8
97,5.395992,4.85
98,5.864078,4.9
99,5.72282,4.95
100,5.768799,5.0
101,5.472854,5.05
102,3.135386,5.1
103,5.758266,5.15
104,6.004675,5.2
105,4.531162,5.25
106,5.359903,5.3
107,8.644681,5.35
108,5.021816,5.4
109,2.437376,5.45
110,6.480345,5.5
111,0.0,5.55
112,3.966338,5.6
113,3.729363,5.65
114,4.475393,5.7
115,3.547218,5.75
116,3.041399,5.8
117,0.0,5.85
118,0.0,5.9
119,0.0,5.95
120,0.0,6.0
