frame,MSD,time
0,0.0,0.0
1,0.126646,0.05
2,0.254493,0.1
3,0.500976,0.15
4,0.578151,0.2
5,0.708008,0.25
6,0.831862,0.3
7,1.001749,0.35
8,1.036613,0.4
9,1.101261,0.45
10,1.124397,0.5
11,1.355893,0.55
12,1.395144,0.6
13,1.770193,0.65
14,1.935669,0.7
15,1.978605,0.75
16,2.255634,0.8
17,2.521429,0.85
18,2.758519,0.9
19,2.793441,0.95
20,3.130816,1.0
21,3.495798,1.05
22,3.574248,1.1
23,3.236603,1.15
24,3.973551,1.2
25,4.299917,1.25
26,4.24796,1.3
27,4.404431,1.35
28,4.935,1.4
29,5.205676,1.45
30,5.337895,1.5
31,4.66081,1.55
32,4.731952,1.6
33,5.399723,1.65
34,4.793754,1.7
35,4.597207,1.75
36,5.28787,1.8
37,4.688593,1.85
38,5.492818,1.9
39,4.843198,1.95
40,6.53538,2.0
41,5.257603,2.05
42,5.082794,2.1
43,6.13238,2.15
44,7.023834,2.2
45,6.905104,2.25
46,7.072225,2.3
47,5.846386,2.35
48,5.318153,2.4
49,5.431658,2.45
50,6.310283,2.5
51,4.590691,2.55
52,4.369945,2.6
53,4.604685,2.65
54,4.577792,2.7
55,4.398252,2.75
56,5.125871,2.8
57,5.42483,2.85
58,6.444501,2.9
59,7.04579,2.95
60,7.284878,3.0
61,7.151091,3.05
62,7.410076,3.1
63,8.346938,3.15
64,8.549815,3.2
65,6.797246,3.25
66,6.400501,3.3
67,6.622958,3.35
68,8.319603,3.4
69,8.013326,3.45
70,7.736249,3.5
71,8.991606,3.55
72,9.437508,3.6
73,10.464631,3.65
74,9.928491,3.7
75,9.982256,3.75
76,9.473099,3.8
77,9.455683,3.85
78,10.434037,3.9
79,11.101606,3.95
80,10.95939,4.0
81,12.660964,4.05
82,13.170192,4.1
83,14.046723,4.15
84,9.066175,4.2
85,15.906875,4.25
86,8.821288,4.3
87,9.750109,4.35
88,10.02473,4.4
89,10.299333,4.45
90,11.041536,4.5
91,9.921994,4.55
92,13.31256,4.6
93,14.36234,4.65
94,15.6909,4.7
95,12.566977,4.75
96,12.221701,4.8
97,13.209139,4.85
98,14.351379,4.9
99,13.996657,4.95
100,13.771752,5.0
101,13.134872,5.05
102,13.630447,5.1
103,14.174402,5.15
104,14.211514,5.2
105,15.268612,5.25
106,19.336343,5.3
107,16.09648,5.35
108,20.841813,5.4
109,20.809652,5.45
110,16.750481,5.5
111,17.405156,5.55
112,19.146942,5.6
113,18.954144,5.65
114,18.803832,5.7
115,19.514235,5.75
116,15.821699,5.8
117,27.216428,5.85
118,27.336342,5.9
119,23.90256,5.95
120,28.667404,6.0
121,30.844224,6.05
122,31.547087,6.1
123,24.286889,6.15
124,25.465735,6.2
125,26.083783,6.25
126,25.260674,6.3
127,25.443092,6.35
128,25.890196,6.4
129,32.596225,6.45
130,25.532488,6.5
131,34.11423,6.55
132,26.8629,6.6
133,26.142547,6.65
134,34.863696,6.7
135,33.895988,6.75
136,33.680979,6.8
137,34.61756,6.85
138,36.139224,6.9
139,36.262058,6.95
140,37.330425,7.0
141,46.783157,7.05
142,47.511736,7.1
143,46.178409,7.15
144,46.267177,7.2
145,44.983432,7.25
146,43.543453,7.3
147,45.926547,7.35
148,46.416479,7.4
149,48.168947,7.45
150,48.438746,7.5
151,47.751918,7.55
152,50.062424,7.6
153,51.023526,7.65
154,52.269465,7.7
155,50.90639,7.75
156,51.113782,7.8
157,35.252297,7.85
158,49.880657,7.9
159,51.630755,7.95
160,51.399523,8.0
161,51.130857,8.05
162,50.620965,8.1
163,36.917757,8.15
164,54.74209,8.2
165,57.091753,8.25
166,57.415925,8.3
167,57.184571,8.35
168,57.193161,8.4
169,57.06912,8.45
170,56.397374,8.5
171,60.383074,8.55
172,59.62718,8.6
173,65.834731,8.65
174,65.987709,8.7
175,67.073962,8.75
176,65.85616,8.8
177,66.941893,8.85
178,67.087877,8.9
179,63.33496,8.95
180,66.201182,9.0
181,67.498105,9.05
182,70.009798,9.1
183,70.576878,9.15
184,70.231009,9.2
185,67.039466,9.25
186,70.94663,9.3
187,71.120727,9.35
188,72.280416,9.4
189,91.609379,9.45
190,91.661752,9.5
191,89.962519,9.55
192,90.809393,9.6
193,93.747185,9.65
194,90.250896,9.7
195,90.729352,9.75
196,86.093137,9.8
197,86.643799,9.85
198,88.857383,9.9
199,87.276121,9.95
200,86.346136,10.0
201,87.860061,10.05
202,86.718788,10.1
203,86.739418,10.15
204,90.035292,10.2
205,86.405961,10.25
206,86.789946,10.3
207,86.169312,10.35
208,83.864472,10.4
209,80.735887,10.45
210,82.841854,10.5
211,84.181324,10.55
212,80.065512,10.6
213,82.113846,10.65
214,88.43029,10.7
215,81.483598,10.75
216,81.793364,10.8
217,0.0,10.85
218,87.503869,10.9
219,96.384951,10.95
220,100.163661,11.0
221,99.471813,11.05
222,100.481373,11.1
223,0.0,11.15
224,0.0,11.2
225,0.0,11.25
226,0.0,11.3
227,0.0,11.35
228,0.0,11.4
229,0.0,11.45
230,0.0,11.5
231,0.0,11.55
232,0.0,11.6
233,0.0,11.65
234,0.0,11.7
235,0.0,11.75
236,0.0,11.8
237,0.0,11.85
238,0.0,11.9
239,0.0,11.95
240,0.0,12.0
241,0.0,12.05
242,0.0,12.1
243,0.0,12.15
244,0.0,12.2
245,0.0,12.25
246,0.0,12.3
247,0.0,12.35
248,0.0,12.4
249,0.0,12.45
250,0.0,12.5
251,0.0,12.55
252,0.0,12.6
253,0.0,12.65
254,0.0,12.7
255,0.0,12.75
256,0.0,12.8
257,0.0,12.85
258,0.0,12.9
259,0.0,12.95
260,0.0,13.0
261,0.0,13.05
262,0.0,13.1
263,0.0,13.15
264,0.0,13.2
265,0.0,13.25
266,0.0,13.3
267,0.0,13.35
268,0.0,13.4
269,0.0,13.45
270,0.0,13.5
271,0.0,13.55
272,0.0,13.6
273,0.0,13.65
274,0.0,13.7
275,0.0,13.75
276,0.0,13.8
277,0.0,13.85
278,0.0,13.9
279,0.0,13.95
280,0.0,14.0
281,0.0,14.05
282,0.0,14.1
283,0.0,14.15
284,0.0,14.2
285,0.0,14.25
286,0.0,14.3
287,0.0,14.35
288,0.0,14.4
289,0.0,14.45
290,0.0,14.5
291,0.0,14.55
292,0.0,14.6
293,0.0,14.65
294,0.0,14.7
295,0.0,14.75
296,0.0,14.8
297,0.0,14.85
298,0.0,14.9
299,0.0,14.95
