frame,MSD,time
0,0.0,0.0
1,0.133392,0.05
2,0.338561,0.1
3,0.517186,0.15
4,0.664668,0.2
5,0.918499,0.25
6,1.172776,0.3
7,1.151521,0.35
8,1.131062,0.4
9,1.232446,0.45
10,1.731863,0.5
11,1.595298,0.55
12,1.952983,0.6
13,1.720535,0.65
14,2.035306,0.7
15,2.294554,0.75
16,2.09133,0.8
17,2.091311,0.85
18,2.349985,0.9
19,2.814423,0.95
20,3.119114,1.0
21,3.123813,1.05
22,3.80765,1.1
23,3.427054,1.15
24,3.159955,1.2
25,3.000237,1.25
26,2.593648,1.3
27,1.831062,1.35
28,4.94176,1.4
29,3.934355,1.45
30,3.331844,1.5
31,3.586304,1.55
32,5.627318,1.6
33,4.440687,1.65
34,4.641481,1.7
35,5.018646,1.75
36,3.951689,1.8
37,5.048775,1.85
38,5.311548,1.9
39,3.796207,1.95
40,5.485508,2.0
41,5.39086,2.05
42,5.844773,2.1
43,6.283128,2.15
44,4.697492,2.2
45,6.623816,2.25
46,5.245543,2.3
47,4.114311,2.35
48,5.384775,2.4
49,5.001578,2.45
50,4.222588,2.5
51,4.438788,2.55
52,6.154172,2.6
53,7.061375,2.65
54,10.098047,2.7
55,8.264549,2.75
56,7.193535,2.8
57,7.823024,2.85
58,7.653649,2.9
59,8.107758,2.95
60,8.028399,3.0
61,8.912874,3.05
62,8.780292,3.1
63,11.765481,3.15
64,11.425767,3.2
65,10.807878,3.25
66,9.993646,3.3
67,9.939954,3.35
68,7.847956,3.4
69,6.21081,3.45
70,3.564745,3.5
71,3.079485,3.55
72,9.97652,3.6
73,8.471477,3.65
74,9.285206,3.7
75,9.301487,3.75
76,12.376796,3.8
77,13.294022,3.85
78,13.190554,3.9
79,12.998806,3.95
80,4.912034,4.0
81,5.340995,4.05
82,5.639868,4.1
83,5.635984,4.15
84,7.086375,4.2
85,9.418611,4.25
86,8.908057,4.3
87,11.742857,4.35
88,9.344054,4.4
89,0.0,4.45
90,0.0,4.5
91,0.0,4.55
92,0.0,4.6
93,0.0,4.65
94,0.0,4.7
95,0.0,4.75
96,0.0,4.8
97,0.0,4.85
98,0.0,4.9
99,0.0,4.95
100,0.0,5.0
101,0.0,5.05
102,0.0,5.1
103,0.0,5.15
104,0.0,5.2
105,0.0,5.25
106,0.0,5.3
107,0.0,5.35
108,0.0,5.4
109,0.0,5.45
110,0.0,5.5
111,0.0,5.55
112,0.0,5.6
113,0.0,5.65
114,0.0,5.7
115,0.0,5.75
116,0.0,5.8
117,0.0,5.85
118,0.0,5.9
119,0.0,5.95
120,0.0,6.0
121,0.0,6.05
122,0.0,6.1
123,0.0,6.15
124,0.0,6.2
125,0.0,6.25
126,0.0,6.3
127,0.0,6.35
128,0.0,6.4
129,0.0,6.45
130,0.0,6.5
131,0.0,6.55
132,0.0,6.6
133,0.0,6.65
134,0.0,6.7
135,0.0,6.75
136,0.0,6.8
137,0.0,6.85
138,0.0,6.9
139,0.0,6.95
140,0.0,7.0
141,0.0,7.05
142,0.0,7.1
143,0.0,7.15
144,0.0,7.2
145,0.0,7.25
