frame,MSD,time
0,0.0,0.0
1,0.159242,0.065
2,0.358805,0.13
3,0.709877,0.195
4,0.669813,0.26
5,1.034608,0.325
6,1.181681,0.39
7,1.308551,0.455
8,1.520956,0.52
9,1.692295,0.585
10,1.99141,0.65
11,2.331245,0.715
12,2.586582,0.78
13,2.853345,0.845
14,2.840121,0.91
15,3.432425,0.975
16,3.9738,1.04
17,4.464938,1.105
18,4.370409,1.17
19,4.572829,1.235
20,5.12896,1.3
21,5.603333,1.365
22,5.965735,1.43
23,5.654383,1.495
24,5.369117,1.56
25,5.775102,1.625
26,5.915514,1.69
27,6.592072,1.755
28,6.913918,1.82
29,6.688109,1.885
30,7.018437,1.95
31,8.038012,2.015
32,8.647313,2.08
33,8.323219,2.145
34,8.741643,2.21
35,8.148059,2.275
36,8.332978,2.34
37,8.946574,2.405
38,9.969486,2.47
39,10.121343,2.535
40,9.24527,2.6
41,8.966982,2.665
42,10.454728,2.73
43,9.247502,2.795
44,9.856043,2.86
45,12.309543,2.925
46,12.55927,2.99
47,13.446881,3.055
48,13.03231,3.12
49,13.098867,3.185
50,11.171063,3.25
51,12.700624,3.315
52,13.656862,3.38
53,14.026067,3.445
54,15.139071,3.51
55,15.056962,3.575
56,14.238634,3.64
57,15.564211,3.705
58,16.963569,3.77
59,17.151426,3.835
60,17.432689,3.9
61,19.79515,3.965
62,19.918604,4.03
63,20.637524,4.095
64,22.234169,4.16
65,18.95446,4.225
66,18.829987,4.29
67,18.011223,4.355
68,18.331876,4.42
69,19.564247,4.485
70,20.486426,4.55
71,20.065751,4.615
72,21.150198,4.68
73,21.81723,4.745
74,19.883588,4.81
75,22.320206,4.875
76,22.919162,4.94
77,22.164096,5.005
78,21.7071,5.07
79,23.800646,5.135
80,23.455845,5.2
81,25.135806,5.265
82,24.442832,5.33
83,27.764198,5.395
84,28.197072,5.46
85,29.938481,5.525
86,31.561829,5.59
87,32.084916,5.655
88,32.893231,5.72
89,35.70225,5.785
90,35.164326,5.85
91,35.788901,5.915
92,33.391413,5.98
93,35.271539,6.045
94,29.623598,6.11
95,30.691921,6.175
96,30.865856,6.24
97,37.776896,6.305
98,38.043979,6.37
99,42.48559,6.435
100,42.737762,6.5
101,34.978426,6.565
102,34.938114,6.63
103,44.299719,6.695
104,50.243144,6.76
105,46.066188,6.825
106,46.515367,6.89
107,46.459945,6.955
108,49.389338,7.02
109,46.746468,7.085
110,46.759216,7.15
111,50.811246,7.215
112,54.324962,7.28
113,49.136854,7.345
114,54.03782,7.41
115,56.330585,7.475
116,55.007471,7.54
117,55.829196,7.605
118,59.011093,7.67
119,57.704704,7.735
120,57.069363,7.8
121,62.982535,7.865
122,64.120093,7.93
123,64.05012,7.995
124,62.43465,8.06
125,61.151082,8.125
126,64.049752,8.19
127,67.193865,8.255
128,68.763197,8.32
129,73.446617,8.385
130,67.51556,8.45
131,73.349157,8.515
132,72.678141,8.58
133,76.22525,8.645
134,78.411016,8.71
135,79.180801,8.775
136,78.408173,8.84
137,80.034264,8.905
138,81.023104,8.97
139,80.08665,9.035
140,79.275004,9.1
141,81.42085,9.165
142,83.366053,9.23
143,85.038279,9.295
144,84.886574,9.36
145,88.551816,9.425
146,89.020192,9.49
147,90.098689,9.555
148,94.996813,9.62
149,95.256989,9.685
150,95.883464,9.75
151,96.86795,9.815
152,99.23878,9.88
153,101.16271,9.945
154,100.228048,10.01
155,74.131903,10.075
156,83.528683,10.14
157,48.818644,10.205
158,78.981384,10.27
159,75.302872,10.335
160,77.429726,10.4
161,73.7792,10.465
162,77.113726,10.53
163,77.277519,10.595
164,76.235458,10.66
165,79.471611,10.725
166,82.132451,10.79
167,83.855184,10.855
168,81.152756,10.92
169,79.650393,10.985
170,78.993184,11.05
171,76.966532,11.115
172,78.196388,11.18
173,80.520905,11.245
174,77.793866,11.31
175,75.746117,11.375
176,73.068428,11.44
177,73.645892,11.505
178,76.196841,11.57
179,76.574432,11.635
180,79.426079,11.7
181,73.217417,11.765
182,73.979375,11.83
183,75.173968,11.895
184,74.892675,11.96
185,73.341464,12.025
186,71.534027,12.09
187,69.918248,12.155
188,75.340218,12.22
189,78.235377,12.285
190,80.021266,12.35
191,80.9431,12.415
192,107.457123,12.48
193,109.260841,12.545
194,110.898487,12.61
195,86.504412,12.675
196,89.019399,12.74
197,115.370636,12.805
198,85.263796,12.87
199,114.561649,12.935
200,48.682309,13.0
201,130.861015,13.065
202,128.738312,13.13
203,126.018547,13.195
204,123.637234,13.26
205,128.699959,13.325
206,125.746452,13.39
207,133.461052,13.455
208,128.033535,13.52
209,129.277107,13.585
210,138.788132,13.65
211,144.907463,13.715
212,140.962509,13.78
213,144.805794,13.845
214,144.858345,13.91
