frame,MSD,time
0,0.0,0.0
1,0.134,0.05
2,0.216939,0.1
3,0.292401,0.15
4,0.412906,0.2
5,0.518808,0.25
6,0.637607,0.3
7,0.726093,0.35
8,0.715561,0.4
9,0.762793,0.45
10,0.806392,0.5
11,1.051369,0.55
12,1.075117,0.6
13,1.25672,0.65
14,1.232323,0.7
15,1.328102,0.75
16,1.511424,0.8
17,1.650838,0.85
18,1.705854,0.9
19,1.841825,0.95
20,1.912589,1.0
21,2.140715,1.05
22,2.227321,1.1
23,2.193257,1.15
24,2.109388,1.2
25,2.353896,1.25
26,2.426974,1.3
27,2.639801,1.35
28,2.768777,1.4
29,2.976012,1.45
30,3.132534,1.5
31,3.434407,1.55
32,3.711504,1.6
33,3.702393,1.65
34,3.617467,1.7
35,4.221503,1.75
36,4.432016,1.8
37,4.91861,1.85
38,5.39771,1.9
39,5.136582,1.95
40,5.150575,2.0
41,5.446763,2.05
42,5.068586,2.1
43,5.767441,2.15
44,7.027148,2.2
45,6.428793,2.25
46,6.475796,2.3
47,7.44443,2.35
48,7.6464,2.4
49,7.607191,2.45
50,7.669985,2.5
51,7.842216,2.55
52,7.513711,2.6
53,7.480473,2.65
54,7.839694,2.7
55,7.845584,2.75
56,8.216921,2.8
57,8.550957,2.85
58,8.594809,2.9
59,9.60082,2.95
60,9.989352,3.0
61,10.2436,3.05
62,10.06324,3.1
63,9.148954,3.15
64,9.191913,3.2
65,9.645604,3.25
66,9.679681,3.3
67,10.141285,3.35
68,10.29533,3.4
69,10.850642,3.45
70,10.64824,3.5
71,10.968101,3.55
72,11.162175,3.6
73,11.85683,3.65
74,11.214291,3.7
75,11.491002,3.75
76,12.071908,3.8
77,12.036204,3.85
78,11.351108,3.9
79,12.055047,3.95
80,11.191612,4.0
81,11.229451,4.05
82,11.622464,4.1
83,12.989866,4.15
84,13.371678,4.2
85,13.745694,4.25
86,14.380777,4.3
87,14.209219,4.35
88,15.200047,4.4
89,15.232604,4.45
90,15.02159,4.5
91,15.308723,4.55
92,14.641922,4.6
93,15.690535,4.65
94,17.48777,4.7
95,17.527167,4.75
96,18.153631,4.8
97,16.722906,4.85
98,18.408481,4.9
99,18.742087,4.95
100,18.706231,5.0
101,18.096929,5.05
102,18.711765,5.1
103,19.36472,5.15
104,18.964264,5.2
105,18.531898,5.25
106,19.715774,5.3
107,19.16748,5.35
108,20.851301,5.4
109,19.07601,5.45
110,20.869238,5.5
111,20.910712,5.55
112,21.325008,5.6
113,21.246282,5.65
114,19.888386,5.7
115,20.268834,5.75
116,19.12513,5.8
117,19.616476,5.85
118,19.425748,5.9
119,21.236154,5.95
120,18.701214,6.0
