frame,MSD,time
0,0.0,0.0
1,0.154082,0.05
2,0.276209,0.1
3,0.390049,0.15
4,0.521411,0.2
5,0.711091,0.25
6,0.752753,0.3
7,1.00179,0.35
8,1.142519,0.4
9,1.411445,0.45
10,1.629504,0.5
11,1.747048,0.55
12,1.689018,0.6
13,1.956758,0.65
14,1.699726,0.7
15,2.08928,0.75
16,1.786707,0.8
17,1.7736,0.85
18,2.143817,0.9
19,2.312171,0.95
20,2.452058,1.0
21,2.526923,1.05
22,2.621002,1.1
23,2.713576,1.15
24,2.933223,1.2
25,3.134924,1.25
26,3.177124,1.3
27,3.298693,1.35
28,3.677483,1.4
29,3.416915,1.45
30,3.696965,1.5
31,3.695893,1.55
32,3.946511,1.6
33,3.647247,1.65
34,3.382405,1.7
35,3.849137,1.75
36,4.553968,1.8
37,4.324432,1.85
38,5.175764,1.9
39,4.993693,1.95
40,5.415965,2.0
41,5.996957,2.05
42,5.582337,2.1
43,4.92449,2.15
44,5.333704,2.2
45,5.235021,2.25
46,5.507361,2.3
47,5.611711,2.35
48,6.259091,2.4
49,6.156494,2.45
50,6.59621,2.5
51,6.630789,2.55
52,6.197871,2.6
53,6.35893,2.65
54,6.701678,2.7
55,6.028804,2.75
56,8.139285,2.8
57,7.934815,2.85
58,7.903721,2.9
59,8.203449,2.95
60,8.742963,3.0
61,8.923514,3.05
62,8.997008,3.1
63,9.680911,3.15
64,9.237932,3.2
65,9.585509,3.25
66,9.690176,3.3
67,10.073944,3.35
68,11.137242,3.4
69,10.799959,3.45
70,10.302068,3.5
71,11.352195,3.55
72,12.640678,3.6
73,11.146955,3.65
74,11.356658,3.7
75,12.124847,3.75
76,10.991739,3.8
77,12.531384,3.85
78,12.011097,3.9
79,11.098143,3.95
80,12.907077,4.0
81,14.162361,4.05
82,15.014114,4.1
83,16.556325,4.15
84,14.69982,4.2
85,15.089439,4.25
86,14.668697,4.3
87,15.197268,4.35
88,13.420684,4.4
89,13.068534,4.45
90,13.859501,4.5
91,13.642169,4.55
92,14.394924,4.6
93,14.468596,4.65
94,14.36601,4.7
95,17.245644,4.75
96,17.450868,4.8
97,14.17958,4.85
98,15.238589,4.9
99,15.962795,4.95
100,13.894763,5.0
101,11.476893,5.05
102,15.631371,5.1
103,20.198507,5.15
104,15.943713,5.2
105,13.829084,5.25
106,16.992818,5.3
107,19.105747,5.35
108,14.257462,5.4
109,11.326107,5.45
110,13.662232,5.5
111,15.849942,5.55
112,15.019468,5.6
113,16.166477,5.65
114,13.612364,5.7
115,13.883925,5.75
116,13.961798,5.8
117,16.596399,5.85
118,16.020875,5.9
119,20.319641,5.95
120,19.258223,6.0
121,19.321973,6.05
122,22.997716,6.1
123,17.778093,6.15
124,20.664033,6.2
125,13.747512,6.25
126,13.470501,6.3
127,14.331614,6.35
128,13.624435,6.4
129,12.006357,6.45
130,12.574284,6.5
131,14.529868,6.55
132,15.851271,6.6
133,15.334149,6.65
134,13.04779,6.7
135,12.084616,6.75
136,12.898836,6.8
137,6.649805,6.85
138,6.185538,6.9
139,6.747618,6.95
140,9.91499,7.0
141,10.147013,7.05
142,11.384817,7.1
143,15.223927,7.15
144,13.397582,7.2
145,17.70647,7.25
146,18.581766,7.3
147,21.331876,7.35
148,17.661756,7.4
149,18.332483,7.45
150,16.244198,7.5
151,15.269793,7.55
152,15.886596,7.6
153,17.003118,7.65
154,15.957725,7.7
155,13.108433,7.75
156,14.265714,7.8
157,15.205222,7.85
158,16.949539,7.9
159,15.741269,7.95
160,13.642115,8.0
161,16.342954,8.05
162,13.695702,8.1
163,0.0,8.15
164,15.178876,8.2
165,15.610934,8.25
166,13.989327,8.3
167,14.386515,8.35
168,15.308063,8.4
169,0.0,8.45
170,13.898933,8.5
171,17.237078,8.55
172,0.0,8.6
173,0.0,8.65
174,20.806787,8.7
175,20.013125,8.75
176,18.771197,8.8
177,15.860566,8.85
178,16.938223,8.9
179,0.0,8.95
180,0.0,9.0
181,0.0,9.05
182,0.0,9.1
183,0.0,9.15
184,0.0,9.2
185,0.0,9.25
186,0.0,9.3
187,0.0,9.35
188,0.0,9.4
189,0.0,9.45
190,0.0,9.5
191,0.0,9.55
192,0.0,9.6
193,0.0,9.65
194,0.0,9.7
195,0.0,9.75
196,0.0,9.8
197,0.0,9.85
198,0.0,9.9
199,0.0,9.95
200,0.0,10.0
201,0.0,10.05
202,0.0,10.1
203,0.0,10.15
204,0.0,10.2
205,0.0,10.25
206,0.0,10.3
207,0.0,10.35
208,0.0,10.4
209,0.0,10.45
210,0.0,10.5
211,0.0,10.55
212,0.0,10.6
213,0.0,10.65
214,0.0,10.7
215,0.0,10.75
216,0.0,10.8
217,0.0,10.85
218,0.0,10.9
219,0.0,10.95
220,0.0,11.0
221,0.0,11.05
222,0.0,11.1
223,0.0,11.15
224,0.0,11.2
225,0.0,11.25
226,0.0,11.3
227,0.0,11.35
228,0.0,11.4
229,0.0,11.45
230,0.0,11.5
231,0.0,11.55
232,0.0,11.6
233,0.0,11.65
234,0.0,11.7
235,0.0,11.75
236,0.0,11.8
237,0.0,11.85
238,0.0,11.9
239,0.0,11.95
240,0.0,12.0
241,0.0,12.05
242,0.0,12.1
243,0.0,12.15
244,0.0,12.2
245,0.0,12.25
246,0.0,12.3
247,0.0,12.35
248,0.0,12.4
249,0.0,12.45
250,0.0,12.5
251,0.0,12.55
252,0.0,12.6
253,0.0,12.65
254,0.0,12.7
255,0.0,12.75
256,0.0,12.8
257,0.0,12.85
258,0.0,12.9
259,0.0,12.95
260,0.0,13.0
261,0.0,13.05
262,0.0,13.1
263,0.0,13.15
264,0.0,13.2
265,0.0,13.25
266,0.0,13.3
267,0.0,13.35
268,0.0,13.4
269,0.0,13.45
270,0.0,13.5
271,0.0,13.55
272,0.0,13.6
273,0.0,13.65
274,0.0,13.7
275,0.0,13.75
276,0.0,13.8
277,0.0,13.85
278,0.0,13.9
279,0.0,13.95
280,0.0,14.0
281,0.0,14.05
282,0.0,14.1
283,0.0,14.15
284,0.0,14.2
285,0.0,14.25
286,0.0,14.3
287,0.0,14.35
288,0.0,14.4
289,0.0,14.45
290,0.0,14.5
291,0.0,14.55
292,0.0,14.6
293,0.0,14.65
294,0.0,14.7
295,0.0,14.75
296,0.0,14.8
297,0.0,14.85
298,0.0,14.9
299,0.0,14.95
