frame,MSD,time
0,0.0,0.0
1,0.175026,0.05
2,0.339778,0.1
3,0.531052,0.15
4,0.737853,0.2
5,0.937164,0.25
6,1.055226,0.3
7,1.352391,0.35
8,1.4689,0.4
9,1.542741,0.45
10,1.647546,0.5
11,2.098364,0.55
12,1.980555,0.6
13,2.453723,0.65
14,2.475362,0.7
15,2.847735,0.75
16,2.93308,0.8
17,3.133062,0.85
18,3.367784,0.9
19,3.376584,0.95
20,3.70637,1.0
21,4.243609,1.05
22,4.116315,1.1
23,4.119759,1.15
24,3.783342,1.2
25,4.119267,1.25
26,4.307593,1.3
27,4.450502,1.35
28,4.251833,1.4
29,4.010884,1.45
30,3.636632,1.5
31,4.196354,1.55
32,5.139936,1.6
33,4.751356,1.65
34,4.886859,1.7
35,5.066041,1.75
36,5.515232,1.8
37,5.113164,1.85
38,6.260813,1.9
39,6.328444,1.95
40,6.768295,2.0
41,7.406666,2.05
42,7.880113,2.1
43,8.563556,2.15
44,8.809566,2.2
45,9.262629,2.25
46,8.892096,2.3
47,9.576296,2.35
48,9.716903,2.4
49,10.790943,2.45
50,9.34727,2.5
51,10.96645,2.55
52,9.444589,2.6
53,10.914937,2.65
54,10.374164,2.7
55,8.994284,2.75
56,8.364281,2.8
57,8.821614,2.85
58,8.74893,2.9
59,8.403224,2.95
60,7.608369,3.0
61,6.518492,3.05
62,7.103312,3.1
63,8.48377,3.15
64,10.35549,3.2
65,8.079208,3.25
66,8.552922,3.3
67,11.298029,3.35
68,10.575861,3.4
69,10.864361,3.45
70,9.631856,3.5
71,9.678842,3.55
72,11.106676,3.6
73,11.706838,3.65
74,11.128716,3.7
75,10.693877,3.75
76,11.575953,3.8
77,11.671279,3.85
78,10.145264,3.9
79,10.573105,3.95
80,11.571673,4.0
81,11.59038,4.05
82,12.148307,4.1
83,12.736649,4.15
84,14.162692,4.2
85,17.272177,4.25
86,15.140891,4.3
87,15.446712,4.35
88,13.293227,4.4
89,14.050648,4.45
90,19.660715,4.5
91,20.373446,4.55
92,20.554736,4.6
93,16.942124,4.65
94,20.057152,4.7
95,21.828194,4.75
96,20.551394,4.8
97,21.589372,4.85
98,21.977714,4.9
99,21.419842,4.95
100,20.001365,5.0
101,19.368466,5.05
102,21.509007,5.1
103,23.145704,5.15
104,17.798527,5.2
105,17.173888,5.25
106,23.966355,5.3
107,32.051815,5.35
108,18.571184,5.4
109,26.245604,5.45
110,26.755358,5.5
111,26.628774,5.55
112,26.527621,5.6
113,26.782494,5.65
114,29.592707,5.7
115,25.000468,5.75
116,5.284302,5.8
117,23.66981,5.85
118,15.86537,5.9
119,14.189337,5.95
120,15.074604,6.0
121,13.757381,6.05
122,13.125862,6.1
123,13.437841,6.15
124,15.771591,6.2
125,16.727391,6.25
126,17.689748,6.3
127,18.008539,6.35
128,17.739672,6.4
129,16.604785,6.45
130,16.958278,6.5
131,17.77627,6.55
132,19.756522,6.6
133,10.102794,6.65
134,19.421638,6.7
135,8.060403,6.75
136,15.773095,6.8
137,19.620334,6.85
138,18.867556,6.9
139,20.968694,6.95
140,20.510676,7.0
141,9.748257,7.05
142,9.871894,7.1
143,10.271058,7.15
144,10.41497,7.2
145,11.230676,7.25
146,11.624402,7.3
147,11.024577,7.35
148,12.460965,7.4
149,11.798209,7.45
150,12.413993,7.5
151,11.932809,7.55
152,11.357334,7.6
153,15.100898,7.65
154,11.065497,7.7
155,14.659535,7.75
156,14.684738,7.8
157,23.524064,7.85
158,24.624798,7.9
159,26.066246,7.95
160,27.013663,8.0
161,27.577083,8.05
162,26.129843,8.1
163,27.609579,8.15
164,31.697133,8.2
165,26.12509,8.25
166,29.154921,8.3
167,27.25625,8.35
168,26.271267,8.4
169,20.347287,8.45
170,17.738545,8.5
171,0.0,8.55
172,0.0,8.6
173,19.929732,8.65
174,0.0,8.7
175,0.0,8.75
176,0.0,8.8
177,0.0,8.85
178,0.0,8.9
179,0.0,8.95
180,0.0,9.0
181,0.0,9.05
182,0.0,9.1
183,0.0,9.15
184,0.0,9.2
185,0.0,9.25
186,0.0,9.3
187,0.0,9.35
188,0.0,9.4
189,0.0,9.45
190,0.0,9.5
191,0.0,9.55
192,0.0,9.6
193,0.0,9.65
194,0.0,9.7
195,0.0,9.75
196,0.0,9.8
197,0.0,9.85
198,0.0,9.9
199,0.0,9.95
200,0.0,10.0
201,0.0,10.05
202,0.0,10.1
203,0.0,10.15
204,0.0,10.2
205,0.0,10.25
206,0.0,10.3
207,0.0,10.35
208,0.0,10.4
209,0.0,10.45
210,0.0,10.5
211,0.0,10.55
212,0.0,10.6
213,0.0,10.65
214,0.0,10.7
215,0.0,10.75
216,0.0,10.8
217,0.0,10.85
218,0.0,10.9
219,0.0,10.95
220,0.0,11.0
221,0.0,11.05
222,0.0,11.1
223,0.0,11.15
224,0.0,11.2
225,0.0,11.25
226,0.0,11.3
227,0.0,11.35
228,0.0,11.4
229,0.0,11.45
230,0.0,11.5
231,0.0,11.55
232,0.0,11.6
233,0.0,11.65
