frame,MSD,time
0,0.0,0.0
1,0.110751,0.065
2,0.268788,0.13
3,0.396211,0.195
4,0.488231,0.26
5,0.546931,0.325
6,0.658753,0.39
7,0.841459,0.455
8,0.928433,0.52
9,1.017364,0.585
10,1.053617,0.65
11,1.156124,0.715
12,1.159738,0.78
13,1.284217,0.845
14,1.309464,0.91
15,1.239681,0.975
16,1.535051,1.04
17,1.62585,1.105
18,1.704178,1.17
19,1.670286,1.235
20,1.803941,1.3
21,1.727832,1.365
22,1.805662,1.43
23,1.872065,1.495
24,2.165124,1.56
25,2.448588,1.625
26,2.632309,1.69
27,2.692559,1.755
28,2.930087,1.82
29,2.885358,1.885
30,2.665045,1.95
31,2.902219,2.015
32,3.013635,2.08
33,2.990237,2.145
34,3.096317,2.21
35,3.085658,2.275
36,3.309418,2.34
37,3.563562,2.405
38,3.543202,2.47
39,3.494338,2.535
40,3.52272,2.6
41,3.658515,2.665
42,3.655372,2.73
43,3.64539,2.795
44,3.633897,2.86
45,3.770708,2.925
46,3.860481,2.99
47,3.848086,3.055
48,3.814111,3.12
49,4.004074,3.185
50,4.077144,3.25
51,4.13798,3.315
52,4.168617,3.38
53,4.700126,3.445
54,4.804769,3.51
55,4.438386,3.575
56,4.633654,3.64
57,4.696481,3.705
58,4.463197,3.77
59,4.692259,3.835
60,4.853643,3.9
61,4.86051,3.965
62,4.906075,4.03
63,4.821842,4.095
64,5.093163,4.16
65,5.030639,4.225
66,5.604099,4.29
67,5.982301,4.355
68,6.144811,4.42
69,6.101663,4.485
70,5.735991,4.55
71,5.805726,4.615
72,5.897084,4.68
73,7.014955,4.745
74,6.127613,4.81
75,6.202536,4.875
76,6.768487,4.94
77,7.016551,5.005
78,7.232445,5.07
79,7.579892,5.135
80,7.635436,5.2
81,7.426202,5.265
82,7.484497,5.33
83,7.188113,5.395
84,6.782061,5.46
85,7.078706,5.525
86,7.109268,5.59
87,7.521933,5.655
88,7.637331,5.72
89,7.208321,5.785
90,7.390391,5.85
91,7.124857,5.915
92,7.451639,5.98
93,8.636474,6.045
94,9.215448,6.11
95,9.411722,6.175
96,8.435035,6.24
97,8.876221,6.305
98,9.732741,6.37
99,9.533791,6.435
100,9.667136,6.5
101,9.742225,6.565
102,9.204553,6.63
103,8.79956,6.695
104,9.782143,6.76
105,9.903975,6.825
106,9.348021,6.89
107,9.141559,6.955
108,9.946832,7.02
109,9.949749,7.085
110,9.742915,7.15
111,9.480342,7.215
112,10.089597,7.28
113,9.623185,7.345
114,10.704507,7.41
115,10.851257,7.475
116,9.959896,7.54
117,9.875678,7.605
118,10.37622,7.67
119,10.438116,7.735
120,10.630999,7.8
121,9.126059,7.865
122,8.403322,7.93
123,9.911751,7.995
124,9.065791,8.06
125,7.83053,8.125
126,6.851521,8.19
127,7.786934,8.255
128,9.787347,8.32
129,9.043157,8.385
130,9.507826,8.45
131,9.727214,8.515
132,7.982168,8.58
133,8.633008,8.645
134,9.785605,8.71
135,10.242425,8.775
136,10.0622,8.84
137,9.754999,8.905
138,9.376123,8.97
139,9.693589,9.035
140,9.586225,9.1
141,9.994757,9.165
142,10.145063,9.23
143,9.451875,9.295
144,9.645382,9.36
145,4.921192,9.425
146,3.027089,9.49
147,5.030377,9.555
148,5.229399,9.62
149,5.367189,9.685
150,4.244999,9.75
151,4.116554,9.815
152,3.694479,9.88
153,3.658527,9.945
154,3.831991,10.01
155,4.016742,10.075
156,3.621628,10.14
157,3.83313,10.205
158,3.283295,10.27
159,3.531704,10.335
160,3.306504,10.4
161,3.506457,10.465
162,3.285086,10.53
163,3.335964,10.595
164,2.767668,10.66
165,2.3641,10.725
166,2.276031,10.79
167,2.31758,10.855
168,2.082521,10.92
169,0.263016,10.985
170,0.252507,11.05
171,0.356839,11.115
172,0.437495,11.18
173,0.40742,11.245
174,0.429761,11.31
175,0.364928,11.375
176,0.295567,11.44
177,0.383355,11.505
178,0.326971,11.57
179,0.338633,11.635
180,0.544824,11.7
181,0.385216,11.765
182,0.307369,11.83
183,0.361907,11.895
184,0.378627,11.96
185,0.392931,12.025
186,0.330414,12.09
187,0.328617,12.155
188,0.300002,12.22
189,0.309538,12.285
190,0.374158,12.35
191,0.31615,12.415
192,0.271331,12.48
193,0.277454,12.545
194,0.341941,12.61
195,0.255957,12.675
196,0.235038,12.74
197,0.216542,12.805
198,0.198398,12.87
199,0.284899,12.935
200,0.272835,13.0
201,0.323068,13.065
202,0.304656,13.13
203,0.238534,13.195
204,0.232898,13.26
205,0.213849,13.325
206,0.175104,13.39
207,0.183645,13.455
208,0.144767,13.52
209,0.14915,13.585
210,0.149463,13.65
211,0.164536,13.715
212,0.199493,13.78
213,0.205312,13.845
214,0.189873,13.91
215,0.199249,13.975
216,0.225422,14.04
217,0.228042,14.105
218,0.225179,14.17
219,0.203017,14.235
220,0.380157,14.3
221,0.418474,14.365
222,0.32992,14.43
223,0.289007,14.495
224,0.28717,14.56
225,0.408661,14.625
226,0.383257,14.69
227,0.380044,14.755
228,0.414019,14.82
229,0.381355,14.885
230,0.372441,14.95
231,0.324227,15.015
232,0.242138,15.08
233,0.237909,15.145
234,0.174157,15.21
235,0.176138,15.275
236,0.182453,15.34
237,0.340238,15.405
238,0.470544,15.47
239,0.399243,15.535
240,0.446035,15.6
241,0.426502,15.665
242,0.591088,15.73
243,0.591232,15.795
244,0.548723,15.86
245,0.637819,15.925
246,0.58029,15.99
247,0.40312,16.055
248,0.440272,16.12
249,0.440976,16.185
250,0.368486,16.25
251,0.428944,16.315
252,0.551449,16.38
253,0.394167,16.445
254,0.354319,16.51
255,0.398594,16.575
256,0.346976,16.64
257,0.297482,16.705
258,0.25002,16.77
259,0.194751,16.835
260,0.129065,16.9
261,0.15198,16.965
262,0.1673,17.03
263,0.251359,17.095
264,0.245989,17.16
265,0.189474,17.225
266,0.231509,17.29
267,0.212717,17.355
268,0.23462,17.42
269,0.29073,17.485
270,0.34578,17.55
271,0.274821,17.615
272,0.359061,17.68
273,0.291318,17.745
274,0.184759,17.81
275,0.195963,17.875
276,0.325768,17.94
277,0.239636,18.005
278,0.216747,18.07
279,0.304461,18.135
280,0.275976,18.2
281,0.176159,18.265
282,0.352772,18.33
283,0.273932,18.395
284,0.281802,18.46
285,0.196208,18.525
286,0.137671,18.59
287,0.15327,18.655
288,0.228877,18.72
289,0.262881,18.785
290,0.310783,18.85
291,0.343003,18.915
292,0.380359,18.98
293,0.402857,19.045
294,0.413177,19.11
295,0.311889,19.175
296,0.413319,19.24
297,0.223374,19.305
298,0.348776,19.37
299,0.339447,19.435
