frame,MSD,time
0,0.0,0.0
1,0.079123,0.065
2,0.178756,0.13
3,0.233243,0.195
4,0.32327,0.26
5,0.454357,0.325
6,0.591936,0.39
7,0.670218,0.455
8,0.713581,0.52
9,0.807994,0.585
10,0.85922,0.65
11,0.855508,0.715
12,0.966549,0.78
13,1.088405,0.845
14,1.058429,0.91
15,1.257983,0.975
16,1.310101,1.04
17,1.384701,1.105
18,1.429262,1.17
19,1.478152,1.235
20,1.526339,1.3
21,1.637823,1.365
22,1.719979,1.43
23,1.75554,1.495
24,1.783969,1.56
25,1.757151,1.625
26,1.835596,1.69
27,1.889465,1.755
28,1.933932,1.82
29,2.077341,1.885
30,2.172915,1.95
31,2.258671,2.015
32,2.187418,2.08
33,2.228103,2.145
34,2.318001,2.21
35,2.344677,2.275
36,2.380947,2.34
37,2.388419,2.405
38,2.526425,2.47
39,2.644567,2.535
40,2.744502,2.6
41,2.889844,2.665
42,2.995084,2.73
43,3.020751,2.795
44,3.177103,2.86
45,3.235957,2.925
46,3.279064,2.99
47,3.424259,3.055
48,3.445842,3.12
49,3.17075,3.185
50,3.22653,3.25
51,3.121998,3.315
52,3.22519,3.38
53,3.099203,3.445
54,3.28033,3.51
55,3.286342,3.575
56,3.117445,3.64
57,3.261583,3.705
58,3.072882,3.77
59,3.046887,3.835
60,3.051632,3.9
61,2.995992,3.965
62,2.885271,4.03
63,3.139538,4.095
64,2.912839,4.16
65,3.194355,4.225
66,3.621711,4.29
67,3.526677,4.355
68,3.142731,4.42
69,3.385446,4.485
70,3.309326,4.55
71,3.381985,4.615
72,3.312032,4.68
73,3.375925,4.745
74,3.694191,4.81
75,3.642054,4.875
76,3.725765,4.94
77,3.676125,5.005
78,3.730796,5.07
79,3.530171,5.135
80,2.997874,5.2
81,3.509566,5.265
82,3.464655,5.33
83,3.872658,5.395
84,3.797301,5.46
85,3.906934,5.525
86,4.356874,5.59
87,4.124053,5.655
88,4.254882,5.72
89,4.793073,5.785
90,4.179631,5.85
91,4.408949,5.915
92,4.543906,5.98
93,3.610556,6.045
94,4.196285,6.11
95,4.444842,6.175
96,4.179381,6.24
97,4.173851,6.305
98,4.522776,6.37
99,4.518013,6.435
100,3.345481,6.5
101,3.19216,6.565
102,3.647123,6.63
103,3.708809,6.695
104,4.035797,6.76
105,3.959051,6.825
106,4.089523,6.89
107,4.162967,6.955
108,4.108622,7.02
109,3.995085,7.085
110,3.908886,7.15
111,4.102542,7.215
112,3.290198,7.28
113,3.580072,7.345
114,3.506034,7.41
115,3.669854,7.475
116,3.518312,7.54
117,3.586475,7.605
118,3.864326,7.67
119,3.76159,7.735
120,3.807503,7.8
121,3.766858,7.865
122,3.757698,7.93
123,3.161923,7.995
124,3.27491,8.06
125,3.141546,8.125
126,3.010809,8.19
127,3.093101,8.255
128,3.103333,8.32
129,3.274254,8.385
130,3.347735,8.45
131,3.25933,8.515
132,3.111215,8.58
133,3.472655,8.645
134,3.252363,8.71
135,3.337307,8.775
136,3.408501,8.84
137,3.676716,8.905
138,3.60338,8.97
139,3.822504,9.035
140,3.81703,9.1
141,3.845586,9.165
142,3.880544,9.23
143,4.136403,9.295
144,4.18792,9.36
145,4.337773,9.425
146,4.640653,9.49
147,5.303217,9.555
148,5.500392,9.62
149,5.366292,9.685
150,4.967564,9.75
151,5.637315,9.815
152,5.581043,9.88
153,5.287929,9.945
154,5.642249,10.01
155,5.204814,10.075
156,5.546471,10.14
157,5.184028,10.205
158,5.134048,10.27
159,5.187609,10.335
160,5.170991,10.4
161,5.354108,10.465
162,5.217116,10.53
163,4.415668,10.595
164,4.601609,10.66
165,5.345725,10.725
166,5.084305,10.79
167,5.466005,10.855
168,5.447196,10.92
169,5.314205,10.985
170,5.659478,11.05
171,5.602564,11.115
172,6.062858,11.18
173,6.672101,11.245
174,6.325139,11.31
175,5.978317,11.375
176,6.053951,11.44
177,6.705419,11.505
178,7.128813,11.57
179,6.734829,11.635
180,6.849342,11.7
181,6.667494,11.765
182,6.556264,11.83
183,6.761065,11.895
184,6.765513,11.96
185,6.889557,12.025
186,6.919059,12.09
187,7.452888,12.155
188,8.268004,12.22
189,7.570475,12.285
190,5.014226,12.35
191,5.184621,12.415
192,8.082363,12.48
193,7.982191,12.545
194,5.500797,12.61
195,8.494703,12.675
196,5.610332,12.74
197,9.042553,12.805
198,8.598957,12.87
199,8.966442,12.935
200,9.109766,13.0
201,9.062149,13.065
202,6.390172,13.13
203,5.733615,13.195
204,5.701629,13.26
205,5.992881,13.325
206,6.420062,13.39
207,6.784941,13.455
208,6.721084,13.52
209,6.807386,13.585
210,6.636606,13.65
211,7.078308,13.715
212,7.064507,13.78
213,7.493037,13.845
214,2.545956,13.91
215,7.57881,13.975
216,7.689274,14.04
217,7.343266,14.105
218,7.793255,14.17
219,7.667194,14.235
220,3.291358,14.3
221,7.437594,14.365
222,7.217794,14.43
223,7.013077,14.495
224,6.278314,14.56
225,5.411836,14.625
226,5.382491,14.69
227,5.173616,14.755
228,5.61848,14.82
229,5.716905,14.885
230,6.065887,14.95
231,5.922058,15.015
232,6.141726,15.08
233,6.599066,15.145
234,2.895734,15.21
235,3.010273,15.275
236,3.101499,15.34
237,3.233202,15.405
238,3.23839,15.47
239,3.427907,15.535
240,3.532851,15.6
241,0.588385,15.665
242,3.852296,15.73
243,3.855404,15.795
244,3.823964,15.86
245,0.865425,15.925
246,0.885372,15.99
247,1.001896,16.055
248,3.916507,16.12
249,3.208572,16.185
250,3.294992,16.25
251,2.931819,16.315
252,2.807389,16.38
253,2.451959,16.445
254,2.503086,16.51
255,2.399403,16.575
256,2.499446,16.64
257,3.083489,16.705
258,3.071273,16.77
259,2.8623,16.835
260,3.166925,16.9
261,3.820234,16.965
262,3.899595,17.03
263,4.041704,17.095
264,3.540504,17.16
265,3.555546,17.225
266,3.954,17.29
267,3.894231,17.355
268,4.379412,17.42
269,4.352852,17.485
270,4.182262,17.55
271,5.019025,17.615
272,4.977643,17.68
273,1.157262,17.745
274,1.153129,17.81
275,4.636767,17.875
276,0.12293,17.94
277,0.196724,18.005
278,0.212686,18.07
279,0.195973,18.135
280,0.222173,18.2
281,0.182387,18.265
282,0.216344,18.33
283,0.178108,18.395
284,0.192944,18.46
285,0.195533,18.525
286,0.192626,18.59
287,0.171981,18.655
288,0.190745,18.72
289,0.133121,18.785
290,0.176718,18.85
291,0.178375,18.915
292,0.176944,18.98
293,0.134356,19.045
294,0.131847,19.11
295,0.104236,19.175
296,0.08871,19.24
297,0.077755,19.305
298,0.08687,19.37
299,0.126619,19.435
